GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0009205	P	purine ribonucleoside triphosphate metabolic process	11	72	155	28362	4.3e-13	1.6e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009144	P	purine nucleoside triphosphate metabolic process	11	72	157	28362	4.9e-13	1.6e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009199	P	ribonucleoside triphosphate metabolic process	11	72	165	28362	8.1e-13	1.8e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009141	P	nucleoside triphosphate metabolic process	11	72	170	28362	1.1e-12	1.9e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0046034	P	ATP metabolic process	10	72	148	28362	8.4e-12	5.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0006163	P	purine nucleotide metabolic process	11	72	204	28362	7.2e-12	5.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0006119	P	oxidative phosphorylation	7	72	33	28362	8.6e-12	5.3e-10	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 
GO:0009150	P	purine ribonucleotide metabolic process	11	72	202	28362	6.5e-12	5.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0042278	P	purine nucleoside metabolic process	11	72	200	28362	5.9e-12	5.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0042773	P	ATP synthesis coupled electron transport	7	72	33	28362	8.6e-12	5.3e-10	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 
