,,,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Insoluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble,BNPAGE_Soluble
Protein, Identified Pep NO (p>0.95),SDSPAGE,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
AT1G02370.1,WT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02370.1,lon1-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02410.1,WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02410.1,lon1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03090.2,WT,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,10,3,0,1,1,1,1,1,0,6,5
AT1G03090.2,lon1-1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,1,1,1,2,0,1,2,4
AT1G03100.1,WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03100.1,lon1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03860.1,AT1G03860.3",WT,20,11,15,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G03860.1,AT1G03860.3",lon1-1,21,13,14,14,3,1,0,0,1,3,1,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G04640.1,AT1G04640.2",WT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"AT1G04640.1,AT1G04640.2",lon1-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AT1G04900.1,WT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04900.1,lon1-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G06130.1,AT1G06130.2",WT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G06130.1,AT1G06130.2",lon1-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G06530.1,WT,23,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AT1G06530.1,lon1-1,22,0,0,0,0,0,0,0,0,0,1,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0
AT1G07210.1,WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G07210.1,lon1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G07615.1,WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G07615.1,lon1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
