ID,label,condition,diff,p.adj,threshhold,fraction
AT3G06850, 2-oxoacid dehydrogenases acyltransferase family protein ,clp1p,0.037801269,0.871301371,FALSE,Membrane Proteins
AT3G06850, 2-oxoacid dehydrogenases acyltransferase family protein ,clp1s,-0.57502868,0.54414756,FALSE,Soluble Proteins
AT3G55410, 2-oxoglutarate dehydrogenase,clp1p,-0.028186846,0.84298465,FALSE,Membrane Proteins
AT3G55410, 2-oxoglutarate dehydrogenase,clp1s,-0.173646301,0.494294023,FALSE,Soluble Proteins
AT5G65750, 2-oxoglutarate dehydrogenase,clp1p,0.198386004,0.518338583,FALSE,Membrane Proteins
AT5G65750, 2-oxoglutarate dehydrogenase,clp1s,-0.24182322,0.335476218,FALSE,Soluble Proteins
AT3G07480, 2Fe-2S ferredoxin-like superfamily protein ,clp1p,-1.27387576,0.425604649,FALSE,Membrane Proteins
AT3G07480, 2Fe-2S ferredoxin-like superfamily protein ,clp1s,-0.340355568,0.791425657,FALSE,Soluble Proteins
AT5G66120, 3-dehydroquinate synthase ,clp1p,-0.425225044,0.714971333,FALSE,Membrane Proteins
AT5G66120, 3-dehydroquinate synthase ,clp1s,-0.057013804,0.859689166,FALSE,Soluble Proteins
AT3G15290, 3-hydroxyacyl-CoA dehydrogenase family protein ,clp1p,0.063867718,0.519112028,FALSE,Membrane Proteins
AT3G15290, 3-hydroxyacyl-CoA dehydrogenase family protein ,clp1s,0.133652156,0.822311041,FALSE,Soluble Proteins
AT5G46290, 3-ketoacyl-acyl carrier protein synthase I ,clp1p,-1.612683561,0.345638142,FALSE,Membrane Proteins
AT5G46290, 3-ketoacyl-acyl carrier protein synthase I ,clp1s,-0.338052147,0.808473782,FALSE,Soluble Proteins
AT5G08530,51 kD CI,clp1p,3.781602018,0.002275588,TRUE,Membrane Proteins
AT5G08530,51 kD CI,clp1s,0.601897592,0.699473233,FALSE,Soluble Proteins
AT1G64190, 6-phosphogluconate dehydrogenase family protein ,clp1p,-0.958029168,0.684990227,FALSE,Membrane Proteins
AT1G64190, 6-phosphogluconate dehydrogenase family protein ,clp1s,-0.570461093,0.695878018,FALSE,Soluble Proteins
AT4G20930, 6-phosphogluconate dehydrogenase family protein ,clp1p,0.029189479,0.826730298,FALSE,Membrane Proteins
AT4G20930, 6-phosphogluconate dehydrogenase family protein ,clp1s,-0.094951398,0.779617179,FALSE,Soluble Proteins
AT5G41670, 6-phosphogluconate dehydrogenase family protein ,clp1p,-0.243834743,0.800652476,FALSE,Membrane Proteins
AT5G41670, 6-phosphogluconate dehydrogenase family protein ,clp1s,0.350032286,0.591565029,FALSE,Soluble Proteins
AT2G18330, AAA-type ATPase family protein ,clp1p,-0.053078093,0.778891392,FALSE,Membrane Proteins
AT2G18330, AAA-type ATPase family protein ,clp1s,-0.113907038,0.848431414,FALSE,Soluble Proteins
AT5G16930, AAA-type ATPase family protein ,clp1p,-0.082400031,0.783866152,FALSE,Membrane Proteins
AT5G16930, AAA-type ATPase family protein ,clp1s,0.094890659,0.779101262,FALSE,Soluble Proteins
