Gene.names,ID
 51 kDa subunit of complex I ,AT5G08530.1
 adenosine kinase ,AT2G37250.1
 adenosine kinase ,AT2G37250.1
 ARM repeat superfamily protein ,AT3G62530.1
 ATP synthase alpha/beta family protein ,AT5G08690.1
 CLP protease regulatory subunit X ,AT5G53350.1
 CLP protease regulatory subunit X ,AT5G53350.1
 Co-chaperone GrpE family protein ,AT5G55200.1
 cobalt ion binding protein ,AT3G15000.1
 elongation factor family protein ,AT2G31060.2
 gametophytic factor 2 ,AT5G48030.1
 glutamine-rich protein 23 ,AT1G10270.1
 HSP20-like chaperones superfamily protein ,AT5G51440.1
 isocitrate dehydrogenase VI ,AT3G09810.1
 Late embryogenesis abundant protein (LEA) family protein ,AT4G21020.1
 Late embryogenesis abundant protein (LEA) family protein ,AT4G21020.1
 lipoamide dehydrogenase 2 ,AT3G17240.3
 LYR family of Fe/S cluster biogenesis protein ,AT3G12260.1
 mitochondrial heat shock protein 70-1 ,AT4G37910.2
 mitochondrial heat shock protein 70-1 ,AT4G37910.2
 mitochondrial processing peptidase alpha subunit ,AT3G16480.1
 NAD-dependent malic enzyme 1 ,AT2G13560.1
 NADH-ubiquinone dehydrogenase ,AT5G37510.1
 NADH-ubiquinone oxidoreductase 24 kDa subunit ,AT4G02580.1
 nuclear-encoded CLP protease P7 ,AT5G23140.1
 nuclear-encoded CLP protease P7 ,AT5G23140.1
 pentatricopeptide (PPR) repeat-containing protein ,AT1G19520.1
 Pentatricopeptide repeat (PPR) superfamily protein ,AT5G60960.1
 pentatricopeptide repeat 336 ,AT1G61870.1
 presequence protease 1 ,AT3G19170.1
 presequence protease 1 ,AT3G19170.1
 putative mitochondrial RNA helicase 1 ,AT3G22310.1
 putative mitochondrial RNA helicase 1 ,AT3G22310.1
 putative mitochondrial RNA helicase 2 ,AT3G22330.1
 Radical SAM superfamily protein ,AT2G43360.1
 RH39 ,AT4G09730.1
 Ribosomal protein L18e/L15 superfamily protein ,AT5G64670.1
 Ribosomal protein L21 ,AT4G30930.1
 ribosomal protein L7/L12 domain-containing protein ,AT1G70190.2
 Ribosomal protein S5 family protein ,AT1G64880.1
 Tetratricopeptide repeat (TPR)-like superfamily protein ,AT3G02650.1
 Tetratricopeptide repeat (TPR)-like superfamily protein ,AT4G36680.1
 Thiamin diphosphate-binding fold (THDP-binding) superfamily protein ,AT1G24180.1
 Translation elongation factor EFG/EF2 protein ,AT2G45030.1
 Translation elongation factor EFG/EF2 protein ,AT2G45030.1
