Name	ACC	group
51 kDa	At5g08530A	Core subunits
24 kDa	At4g02580A	Core subunits
75 kDa	At5g37510A	Core subunits
TYKY/23 kDa	"At1g16700, At1g79010"	Core subunits
PSST/20 kDa	At5g11770A	Core subunits
Nad9m/30 kDa	AtMg00070	Core subunits
Nad7m/49 kDa	AtMg00510	Core subunits
Nad1m	AtMg00516/AtMg01120/AtMg01275	Core subunits
Nad2m	AtMg00285/AtMg01320	Core subunits
Nad3m	AtMg00990	Core subunits
Nad4Lm	AtMg00650	Core subunits
Nad4m	AtMg00580	Core subunits
Nad5m	AtMg00513/AtMg0060/AtMg00665	Core subunits
Nad6m	AtMg00270	Core subunits
18 kDa	"At5g67590A,B,C,D,U"	Conserved non-core subunits
13 kDa	At3g03070	Conserved non-core subunits
MWFE	"At3g08610A,B,U"	Conserved non-core subunits
B8	At5g47890	Conserved non-core subunits
DAP13/B17.2	At3g03100	Conserved non-core subunits
SGDH	At1g67785	Conserved non-core subunits
B13	At5g52840	Conserved non-core subunits
B14.5a	At5g08060	Conserved non-core subunits
39 kDa	"At2g20360A,B"	Conserved non-core subunits
ATDNK	At1g72040*	Conserved non-core subunits
B9	At2g46540	Conserved non-core subunits
B14	At3g12260	Conserved non-core subunits
PGIV	"At5g18800, At3g06310"	Conserved non-core subunits
B14.7	At2g42210C	Conserved non-core subunits
B16.6/GRIM-19	"At1g04630, At2g33220"	Conserved non-core subunits
20.9 kDa/MNLL	At4g16450	Conserved non-core subunits
AGGG	At1g76200	Conserved non-core subunits
B12	"At2g02510, At1g14450B"	Conserved non-core subunits
NDU8/B15	At2g31490	Conserved non-core subunits
B18	At2g02050	Conserved non-core subunits
ASHI	At5g47570	Conserved non-core subunits
B22	At4g34700	Conserved non-core subunits
PDSW	"At1g49140, At3g18410"	Conserved non-core subunits
NDU12/ESSS	"At3g57785, At2g42310"	Conserved non-core subunits
NDU10/KFYI	At4g00585	Conserved non-core subunits
NDU9/B14.5b	At4g20150	Conserved non-core subunits
15 kDa	"At3g62790, At2g47690"	Conserved non-core subunits
CA1	At1g19580E	Non-conserved non-core subunits
CA2	"At1g47260A,B,E,F,G,H"	Non-conserved non-core subunits
CA3	"At5g66510E,F"	Non-conserved non-core subunits
CAL1	"At5g63510E,H,I"	Non-conserved non-core subunits
CAL2	"At3g48680B,E,H,I"	Non-conserved non-core subunits
P1/11 kDa	At1g67350	Non-conserved non-core subunits
P2/16 kDa	At2g27730	Non-conserved non-core subunits
TIM22	At1g18320	Non-conserved non-core subunits
2Fe-2S ferredoxin-like	At3g07480*	Non-conserved non-core subunits
P3	At5g14105	Candidate plant-specific subunits
unknown protein	At1g68680	Candidate plant-specific subunits
TIM22	At3g10110	Candidate plant-specific subunits
DUF543	At1g72170	Candidate plant-specific subunits
unknown protein	At2g28430	Candidate plant-specific subunits
TIM23-2	At1g72750C	Candidate plant-specific subunits
