AGI,desc
ATMG01170, ATP6-2
ATMG00960, CCB203
ATMG00520, MATR
ATMG00740, ORF100A
ATMG00770, ORF100B
ATMG01240, ORF100C
ATMG00260, ORF101A
ATMG01210, ORF101B
ATMG01250, ORF102
ATMG00540, ORF102B
ATMG01100, ORF105A
ATMG01400, ORF105B
ATMG00430, ORF106A
ATMG00450, ORF106B
ATMG00600, ORF106C
ATMG00890, ORF106D
ATMG01030, ORF106E
ATMG01130, ORF106F
ATMG00030, ORF107A
ATMG00200, ORF107B
ATMG00490, ORF107C
ATMG00720, ORF107D
ATMG00850, ORF107E
ATMG01040, ORF107F
ATMG01060, ORF107G
ATMG01330, ORF107H
ATMG00530, ORF109
ATMG00760, ORF109B
ATMG00280, ORF110A
ATMG00630, ORF110B
ATMG00240, ORF111A
ATMG01180, ORF111B
ATMG01290, ORF111C
ATMG01370, ORF111D
ATMG01220, ORF113
ATMG01000, ORF114
ATMG00150, ORF116
ATMG00970, ORF117
ATMG01010, ORF118
ATMG00750, ORF119
ATMG00710, ORF120
ATMG00130, ORF121A
ATMG00840, ORF121B
ATMG00470, ORF122A
ATMG00680, ORF122C
ATMG00320, ORF127
ATMG00050, ORF131
ATMG01310, ORF136B
ATMG00170, ORF139A
ATMG00500, ORF141
ATMG00120, ORF143
ATMG01230, ORF145B
ATMG01350, ORF145C
ATMG00660, ORF149
ATMG00440, ORF152A
ATMG00010, ORF153A
ATMG01020, ORF153B
ATMG00400, ORF157
ATMG01050, ORF159
ATMG00550, ORF160
ATMG00140, ORF167
ATMG00820, ORF170
ATMG01260, ORF205
ATMG00690, ORF240A
ATMG00810, ORF240B
ATMG00640, ORF25
ATMG01110, ORF251
ATMG01090, ORF262
ATMG00670, ORF275
ATMG01280, ORF291
ATMG01200, ORF294
ATMG00590, ORF313
ATMG00040, ORF315
ATMG00480, ORFB
ATMG00570, ORFX
ATMG00560, RPL2
ATMG00980, RPSL2
ATMG00360, TRNC
ATMG00190, TRNG
ATMG00460, TRNI
ATMG00100, TRNK.1
ATMG00250, TRNM.1
ATMG01340, TRNM.2
ATMG00350, TRNP
ATMG00230, TRNS.1
ATMG00330, TRNS.2
ATMG01160, TRNS.5
ATMG00930, TRNW
ATMG00390, TRNY.2
ATMG01190,ATP1
ATMG00110,ABCI2
ATMG00900,ABCI3
ATMG00410,ATP6-1
ATMG01360,COX1
ATMG00830,CCB382
ATMG00180,CCB452
ATMG00730,COX3
ATMG00160,COX2
ATMG01080,ATP9
ATMG00290,RPS4
ATMG01270,RPS7
ATMG01275,NAD1A
ATMG01120,NAD1B
ATMG00516,NAD1C
ATMG00285,NAD2A
ATMG01320,NAD2B
ATMG00990,NAD3
ATMG00513,NAD5A
ATMG00270,NAD6
ATMG00580,NAD4
ATMG00650,NAD4L
ATMG00060,NAD5C
ATMG00510,NAD7
ATMG00070,NAD9
ATMG01410,ORF204
ATMG00090,RPS3
ATMG00080,RPL16
ATMG00210,RPL5
