Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
ATMG01170	ATMG01170.1	ATPase subunit 6	protein_coding	 (ATP6-2)	 (ATP6-2)	
ATMG00960	ATMG00960.1	Encodes a protein of the mitochondrial membrane which has been shown to be present in a number of unidentified complexes including a 500-KDa complex postulated to have heme lyase activity, in which another protein (AtCCMH, AT1G15220) is also involved. cytochrome c biogenesis orf203.	protein_coding	 (CCB203)	 (CCB203)	
ATMG00520	ATMG00520.1	Intron maturase, type II family protein;(source:Araport11)	protein_coding	 (MATR)	 (MATR)	
ATMG00740	ATMG00740.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF100A)	 (ORF100A)	
ATMG00770	ATMG00770.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF100B)	 (ORF100B)	
ATMG01240	ATMG01240.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF100C)	 (ORF100C)	
ATMG00260	ATMG00260.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF101A)	 (ORF101A)	
ATMG01210	ATMG01210.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF101B)	 (ORF101B)	
ATMG01250	ATMG01250.1	RNA-directed DNA polymerase (reverse transcriptase);(source:Araport11)	protein_coding	 (ORF102)	 (ORF102)	
ATMG00540	ATMG00540.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF102B)	 (ORF102B)	
ATMG01100	ATMG01100.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF105A)	 (ORF105A)	
ATMG01400	ATMG01400.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF105B)	 (ORF105B)	
ATMG00430	ATMG00430.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106A)	 (ORF106A)	
ATMG00450	ATMG00450.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106B)	 (ORF106B)	
ATMG00600	ATMG00600.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106C)	 (ORF106C)	
ATMG00890	ATMG00890.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106D)	 (ORF106D)	
ATMG01030	ATMG01030.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106E)	 (ORF106E)	
ATMG01130	ATMG01130.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF106F)	 (ORF106F)	
ATMG00030	ATMG00030.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF107A)	 (ORF107A)	
ATMG00200	ATMG00200.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF107B)	 (ORF107B)	
ATMG00490	ATMG00490.1	Mitovirus RNA-dependent RNA polymerase;(source:Araport11)	protein_coding	 (ORF107C)	 (ORF107C)	
ATMG00720	ATMG00720.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF107D)	 (ORF107D)	
ATMG00850	ATMG00850.1	DNA/RNA polymerases superfamily protein;(source:Araport11)	protein_coding	 (ORF107E)	 (ORF107E)	
ATMG01040	ATMG01040.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF107F)	 (ORF107F)	
ATMG01060	ATMG01060.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF107G)	 (ORF107G)	
ATMG01330	ATMG01330.1	LOW protein: NADH-ubiquinone oxidoreductase chain-like protein;(source:Araport11)	protein_coding	 (ORF107H)	 (ORF107H)	
ATMG00530	ATMG00530.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF109)	 (ORF109)	
ATMG00760	ATMG00760.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF109B)	 (ORF109B)	
ATMG00280	ATMG00280.1	Ribulose bisphosphate carboxylase large chain, catalytic domain-containing protein;(source:Araport11)	protein_coding	 (ORF110A)	 (ORF110A)	
ATMG00630	ATMG00630.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF110B)	 (ORF110B)	
ATMG00240	ATMG00240.1	Gag-Pol-related retrotransposon family protein;(source:Araport11)	protein_coding	 (ORF111A)	 (ORF111A)	
ATMG01180	ATMG01180.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF111B)	 (ORF111B)	
ATMG01290	ATMG01290.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF111C)	 (ORF111C)	
ATMG01370	ATMG01370.1	transmembrane protein;(source:Araport11)	protein_coding	 (ORF111D)	 (ORF111D)	
ATMG01220	ATMG01220.1	hypothetical protein;(source:Araport11)	protein_coding	 (ORF113)	 (ORF113)	
