UniqueCount	AmbigCount
0	0
42	136
452	0
511	0
320	0
0	0
2835	0
5448	27
0	0
3	0
2106	995
175	0
42	0
16	0
803	0
0	0
767	0
1815	0
427	0
141	146
325	14
1	0
792	0
1182	0
1126	0
234	0
546	1863
0	4
10	0
3	263
3	315
0	281
0	327
43	0
84	0
25	0
672	0
2486	0
6	0
0	20468
0	33670
0	17276
1	34331
0	36302
0	417
0	443
12	453
0	414
2	377
0	13
0	0
0	708
0	6
0	1
1	168
3	168
560	0
348	155
9	212
2	212
1	30
0	30
1	25
34	1529
0	1529
0	1447
694	0
0	2058
0	2024
0	2042
0	2071
0	2079
0	1925
0	2017
0	2094
3	2059
0	1869
106399	48850
11	0
303	0
4	14
0	14
0	0
0	331
15	358
0	358
0	593
0	517
0	512
0	587
0	513
0	591
53	0
102	18
10	292
3	292
0	0
240	0
15	149
4	144
0	144
1351	0
2624	0
4	242
0	242
0	0
0	0
1	0
0	36
0	36
0	34
0	37
0	36
0	36
0	35
72	0
472	0
31902	0
3	613
0	686
5	659
6473	0
0	0
107	2
0	0
0	1770
50	1770
0	5127
3	5041
558	5162
1	2058
15	2078
6	2078
0	0
2	2244
68	2244
2	1142
26	1142
62	0
0	0
0	0
129	0
0	8
0	8
167	1
205	0
23	611
0	611
446	556
1	250
10	250
5	0
3002	0
1631	0
45	307
0	307
0	15
8	15
2	4577
122	4577
12	1065
5	1065
315	0
0	0
1	3
3	239
0	246
0	228
1	236
0	237
2	0
422	0
198	31
4	423
21	423
1342	0
107	0
10	1456
3	1780
19	1727
0	3001
919	0
285	1638
1	1638
0	466
0	449
4	370
0	447
0	474
0	432
4	452
0	446
0	434
0	434
0	469
0	436
0	8415
0	8286
30	8296
0	8222
6	8194
453	0
0	0
195	0
0	268
0	271
0	268
0	247
0	247
0	275
0	262
0	254
0	266
0	264
0	254
0	0
614	17
538	0
0	192
74	192
63	0
279	0
2	0
282	4024
2	4024
0	638
140	638
0	0
715	0
6	0
1787	0
881	0
0	1
0	1
1	12
0	0
48	0
0	6
54	994
1	1068
1	1036
733	124
23	0
690	0
30	0
5129	21467
4	0
0	31
1	31
