UniqueCount	AmbigCount
0	0
70	138
438	0
534	0
315	0
0	0
2614	0
4965	22
0	0
5	0
2128	1052
166	0
39	0
14	0
657	0
3	2
785	2
1893	0
505	0
201	167
388	15
6	0
767	0
1180	0
1084	0
269	0
482	1894
1	7
9	0
2	283
1	336
0	295
0	346
32	0
57	0
23	0
629	0
2384	0
3	2
0	20391
0	33151
0	17208
1	33793
0	35839
0	425
0	464
12	473
0	424
2	394
0	19
0	0
0	784
1	4
0	0
1	183
5	183
612	0
225	179
13	211
0	211
0	20
0	21
0	15
55	1702
0	1702
0	1598
690	0
0	2034
0	2011
1	2026
0	2054
0	2080
0	1882
0	1992
0	2090
8	2064
0	1829
73023	34319
21	0
287	0
0	7
0	7
0	0
0	342
24	364
0	365
0	630
0	529
0	522
0	622
0	527
0	629
62	0
135	18
3	314
2	314
0	0
182	0
17	162
4	140
0	140
1444	0
2392	0
9	234
1	234
1	0
0	0
0	0
0	40
0	40
0	40
0	40
0	40
0	40
0	40
56	0
388	0
33972	0
0	615
0	689
4	676
9124	0
0	0
109	0
0	0
0	1670
41	1670
0	5600
7	5538
564	5639
1	2071
10	2081
10	2081
1	0
5	2391
77	2391
4	1248
54	1248
51	0
0	3
0	3
56	0
1	10
0	10
166	0
243	0
29	597
0	597
388	519
1	247
11	247
1	0
2907	0
1624	0
40	309
0	309
0	15
11	15
0	4464
127	4464
12	1231
0	1231
334	0
4	0
0	2
3	250
0	261
0	251
0	257
0	257
2	0
426	0
184	18
2	421
16	421
1404	0
131	0
13	1439
2	1766
17	1722
0	2926
808	0
279	1668
2	1668
0	535
0	525
4	446
0	522
0	555
0	502
1	521
0	522
0	510
0	497
0	548
0	500
0	8300
0	8170
23	8187
1	8100
3	8115
503	0
0	0
206	0
0	247
0	238
0	244
0	231
0	232
0	248
0	237
0	235
0	247
0	237
0	236
0	0
582	19
514	0
0	197
60	197
58	0
273	0
3	0
263	4053
0	4053
0	587
146	587
0	0
869	0
9	0
1664	0
915	0
0	1
1	1
0	10
0	0
56	0
0	1
55	1079
3	1158
4	1118
767	93
25	0
689	0
23	0
5415	21660
4	0
0	61
0	61
1364	0
0	693
50	693
0	0
1614	0
0	0
502	0
0	0
17	0
54	0
2384	0
1941	0
1516	0
427	0
127	843
0	843
11	582
0	0
0	0
0	416
6	462
3	459
2	0
0	426
0	439
0	425
0	364
2418	0
5	174
4	723
1	723
14	723
61	6473
3	6473
7383	0
1755	1
3151	0
17	16869
657	16869
0	684
7	684
1	684
1	0
1	56
3	56
654	0
0	1190
0	1214
0	1189
0	1188
0	1213
0	1200
0	1771
0	1678
17	1707
1	1570
0	1104
5	1748
0	1752
0	121
7	121
143	718
0	715
0	0
0	31
0	32
0	32
270	16
2	380
0	380
49	559
43	559
0	675
2	605
13	675
167	2557
0	2556
4894	0
1	1514
2062	1514
0	1408
64	1494
0	1494
0	331
0	317
0	5022
248	5088
0	2801
0	2456
0	2909
0	2645
0	2775
0	2801
0	2760
0	2537
92	0
3443	29
0	0
0	625
17	625
2	441
13	441
1	123
1	70
2	114
0	120
8	70
0	128
1674	1
1	493
14	497
0	505
10	499
1	503
5549	44
748	12
1	0
133	400
0	399
2	0
3	9226
465	9226
2	278
0	275
0	301
0	0
0	1656
0	1656
1	8
0	8
0	4
185	0
0	5
0	5
33	4
2	830
0	665
0	559
0	636
1478	1
812	0
2140	0
0	0
1	2030
162	2043
4	2035
4642	0
0	38
0	38
8	0
84	0
285	9
0	5
62	6
1	0
2143	0
1	57
0	64
2	58
0	0
43	0
582	2
1	0
531	0
3	0
0	42
0	42
0	39
293	0
0	769
3	771
48	771
0	0
203	0
0	5113
116	5113
0	0
0	0
163	29
5813	0
0	0
928	0
1	2082
38	2082
0	86
0	28
2	28
208	60
0	1
1232	0
130	0
775	107
2481	0
0	27
0	27
1116	0
0	0
2120	0
22	0
52	1173
25	1150
568	0
4	566
0	573
0	540
0	582
1147	0
0	0
0	567
0	579
1	566
0	570
7	536
0	0
1796	0
0	0
24	2126
4	2138
0	2209
12	2125
10	0
0	55
0	0
96	3331
0	3331
4806	66497
3	66497
0	0
0	0
48	0
29263	244
744	0
887	0
386	0
37	706
3	706
1	25
0	25
0	17
1024	0
109	27
0	325
7	319
0	339
0	1792
112	1792
0	1755
0	891
0	899
0	881
0	873
195	32
2	0
797	550
0	39
0	121
0	126
0	1613
112	1633
1	1633
0	912
27	921
11	921
2	0
1	4
0	4
0	4
0	2
0	8
3	8
0	0
17	2038
0	2159
0	2115
0	0
32	3
18	2192
6	1942
8	2252
3095	0
20913	18
0	0
0	0
1293	0
0	2746
1169	2746
0	0
1043	3
1926	0
12	0
1	1
1827	0
0	673
2	661
1	689
0	644
0	656
1	400
14	400
4	2
0	15
0	15
389	0
7	3314
7	3407
0	3277
96	4344
0	3313
64	0
3016	0
855	0
318	2
1209	0
46	1
2	0
512	19
0	0
12	12
0	0
0	270
289	0
7508	0
655	0
85	1556
1	1556
64	1688
25	1688
1445	0
0	8898
0	8789
91	8898
20	0
1987	0
8	0
3091	0
18	0
0	0
0	0
0	307
10	307
22	192
173	255
23	191
1401	0
1	0
3	0
0	0
31	2409
30	2409
162	0
0	523
29	523
0	91
0	18
1	18
1140	0
22	0
1731	0
31	0
0	0
0	33
1	32
0	33
255	1003
27	0
190	0
133	1899
4	1898
3	358
7	358
0	133
5	45
0	45
40	988
136	988
353	0
40	546
0	546
0	372
0	346
0	372
1986	0
0	97
4	97
0	1264
237	1625
0	1827
0	1722
0	343
5	363
3337	0
0	157
0	155
1242	0
3	10
0	0
0	1926
0	1999
0	2010
0	2007
2009	0
0	0
0	0
0	0
0	0
235	2
765	768
75	1277
0	669
0	699
4	686
81	2309
6	1880
0	0
14	0
1	29
0	29
0	8
0	55
0	55
120	0
0	2386
66	2386
117	0
0	488
0	554
0	544
0	545
0	553
46	162
0	5
0	5
0	0
452	0
364	0
19	0
0	0
5514	242
15	1060
164	1076
2846	0
58	0
0	0
1235	0
30	940
0	787
0	961
0	969
0	622
0	961
2765	0
