UniqueCount	AmbigCount
0	0
73	134
492	0
488	0
246	0
0	0
2687	0
5237	21
2	0
2	0
1947	893
173	0
31	0
10	0
848	0
0	0
764	0
1858	0
514	0
161	155
376	8
5	0
763	0
1132	0
1156	0
230	0
491	1805
0	3
11	0
3	306
5	364
0	330
0	380
27	0
61	0
35	1
666	0
2671	0
6	1
0	15990
0	26323
1	13666
0	26884
0	28513
0	351
0	381
10	390
0	348
2	328
0	11
0	0
0	744
0	1
0	0
0	189
1	189
636	0
443	203
8	219
0	219
0	21
0	21
0	19
72	1717
0	1717
0	1638
751	0
0	1995
0	1969
0	1993
0	2008
0	2026
0	1864
0	1965
0	2036
3	2006
1	1819
101940	52454
16	0
298	0
0	16
0	16
0	0
0	359
25	376
0	377
0	678
0	585
0	576
0	667
0	583
0	674
66	0
112	14
2	314
10	314
0	0
266	0
17	142
3	170
0	170
1359	0
2703	0
6	243
0	243
0	0
0	0
2	0
1	45
0	46
1	46
0	46
0	45
0	45
0	46
88	0
528	0
31833	0
0	596
0	677
8	648
6912	0
0	0
65	0
0	0
0	2004
36	2004
0	5065
2	5009
432	5104
0	2213
24	2228
4	2228
0	0
0	2265
55	2265
7	1107
38	1107
73	0
0	0
0	0
49	0
0	3
0	3
157	0
219	0
28	622
0	622
453	604
2	215
19	215
5	0
2720	0
1526	0
46	329
0	329
0	12
10	12
0	4659
101	4659
11	1136
1	1136
325	0
0	0
3	8
3	260
0	274
0	267
0	267
0	267
0	0
514	0
195	25
4	440
13	440
1404	0
92	0
7	1559
3	1902
24	1858
0	3007
876	0
262	1362
5	1362
0	501
0	490
2	413
0	493
0	524
0	478
1	492
0	491
1	487
0	470
0	519
0	467
0	8111
0	7982
27	8005
0	7907
3	7896
582	0
0	0
241	0
0	268
0	256
0	267
0	248
0	248
0	271
0	253
0	252
0	268
0	253
0	252
0	0
615	11
526	0
0	179
69	179
49	0
285	0
1	0
221	3900
2	3900
0	560
150	560
0	0
773	0
5	0
1693	0
845	0
0	0
0	0
0	9
0	0
59	0
0	10
54	973
1	1046
2	1016
761	96
15	0
681	0
29	0
5136	23448
5	0
0	49
1	49
1568	0
0	604
48	604
0	0
1977	0
0	0
560	0
0	0
19	0
40	0
2420	0
2042	0
1368	0
385	0
136	839
0	839
9	617
0	0
52	0
0	419
11	467
2	462
7	0
0	162
0	168
0	162
0	149
2960	0
4	135
2	703
1	704
11	704
42	6164
2	6164
6011	0
1443	0
2830	0
13	13530
579	13530
1	651
9	651
0	651
0	0
1	51
2	51
523	0
0	1325
0	1349
0	1325
0	1325
0	1349
0	1337
0	1814
0	1736
11	1748
1	1608
0	1145
7	1793
0	1793
0	120
6	120
182	807
0	799
0	0
0	43
0	42
1	43
270	20
2	442
0	442
58	659
53	659
0	702
2	621
17	702
147	2470
0	2470
5046	0
1	1402
1953	1402
0	1311
69	1218
0	1218
0	316
0	297
0	4444
188	4493
0	2676
1	2313
0	2779
0	2474
0	2637
1	2651
0	2631
0	2345
102	0
3576	28
0	0
0	660
20	660
0	441
16	441
0	117
0	74
2	115
0	115
5	74
0	127
1662	0
0	431
4	433
0	442
17	433
0	440
5449	21
847	13
2	0
125	440
0	438
12	0
5	8632
505	8632
0	230
1	237
0	254
0	0
0	1865
0	1865
0	12
0	12
0	9
189	1
2	6
0	6
33	2
1	751
0	585
1	495
0	553
1330	0
1290	0
1949	0
0	0
1	2173
152	2186
1	2178
4301	0
0	22
0	22
5	0
109	0
252	8
0	2
75	11
1	0
1713	0
0	80
0	87
2	84
0	0
23	0
543	3
1	0
557	0
1	0
0	84
0	84
0	84
300	0
0	752
2	761
61	761
0	0
301	0
0	5400
122	5400
0	0
0	0
151	35
5993	0
0	0
1002	0
0	2180
44	2180
0	154
0	50
2	50
361	105
1	4
1287	0
143	0
909	103
2607	0
1	28
0	28
1241	0
0	0
1892	0
16	0
57	1097
15	1070
628	0
2	497
1	495
0	464
0	510
1289	0
0	0
0	438
0	450
1	436
0	442
2	428
0	0
1709	0
0	0
8	2138
3	2145
0	2208
10	2134
9	0
0	52
0	0
81	3000
0	3000
4854	62042
3	62042
0	0
0	0
64	0
27578	209
799	0
910	0
379	0
30	559
3	559
0	19
0	19
1	16
1140	0
120	29
0	375
5	348
1	382
0	1859
153	1859
0	1819
0	822
0	828
0	798
0	792
171	25
0	0
811	591
0	45
0	115
0	115
1	2210
177	2225
0	2225
1	822
17	832
5	832
3	0
0	6
0	6
0	6
0	0
0	11
1	11
1	0
12	2135
0	2263
0	2208
0	0
25	3
15	2082
3	1857
3	2145
3259	0
25756	23
0	0
0	0
1101	0
0	2881
1176	2881
0	0
981	5
1958	2
11	0
1	0
1888	0
0	709
1	690
1	733
0	666
0	690
1	319
20	319
0	1
0	14
0	14
480	0
4	3569
4	3689
4	3538
80	4712
0	3568
63	0
3372	0
939	0
257	9
1131	1
84	1
1	0
422	15
0	0
12	13
0	0
0	162
328	0
6339	0
656	0
70	1506
1	1506
71	1753
22	1753
1541	0
0	6585
0	6506
62	6585
30	0
1889	0
5	0
2807	1
37	0
0	0
1	0
0	355
15	355
25	206
173	261
32	199
1289	0
0	0
4	0
3	0
32	2167
20	2167
159	0
0	589
39	589
0	89
0	16
0	13
1165	0
15	0
1852	0
31	0
0	0
0	46
0	46
0	46
254	1164
35	0
168	0
109	1789
5	1786
16	387
7	387
1	90
1	52
1	52
41	958
122	958
356	1
24	633
0	633
1	304
0	287
2	304
2070	0
0	71
1	71
0	1324
213	1618
0	1823
0	1715
0	281
4	301
3353	3
2	192
0	188
1173	0
2	2
0	0
0	1757
0	1807
0	1817
0	1816
2058	0
0	0
0	0
0	0
0	0
329	0
752	792
67	1183
0	636
0	667
1	661
80	2143
6	1765
0	0
18	0
1	20
0	20
0	11
0	53
0	52
155	0
0	2499
59	2499
108	0
0	468
0	527
0	520
0	527
0	521
44	156
0	1
0	1
0	0
390	0
431	0
18	0
0	0
5055	252
9	1111
177	1134
2321	0
80	0
0	0
531	0
20	903
0	674
0	923
0	947
0	585
0	839
2579	0
0	4
0	4
1	4
601	0
0	1134
0	1154
0	1138
0	1158
5	134
0	134
650	0
102	55
0	0
0	0
4	4524
45	4524
1078	0
0	1440
127	1440
1	0
2	1016
12	1016
1	1212
0	1258
35	1297
0	1309
0	1318
0	1265
0	5
0	5
12	89
456	0
0	36
1	0
0	742
0	728
0	757
0	770
0	740
38	1254
0	1213
0	1200
0	1255
304	0
4	0
0	0
3	325
75	325
33	1632
3	1588
0	1626
10522	0
158	8184
12	0
1559	0
0	510
0	540
3	524
9	524
0	548
0	479
2	538
0	0
1135	0
149	439
4	439
2	46
1	41
7	46
0	1
347	0
2694	0
8	2258
8	2266
0	2292
1793	0
123	0
221	19
1	8
3	14
2149	0
0	10616
79	10281
0	9540
1	180
0	186
0	182
0	204
0	177
0	183
0	204
0	182
118	0
350	0
2244	0
100	5
0	2438
0	2448
1	2451
0	2436
0	2322
0	2450
0	2471
0	2343
10	7499
12	7439
1	5835
0	8795
236	8780
1	8513
0	59
44	72
76	0
786	348
24	371
15	371
0	0
0	0
11093	1
0	0
591	0
0	0
386	1
0	0
1	204
0	189
0	217
0	861
0	894
2	952
0	906
78	1222
1	1213
10	1247
5	1223
0	1259
4	1218
2	1250
96	3951
484	0
1	0
831	0
2034	0
845	0
1	2850
70	2850
13	1372
37	1372
0	949
536	949
52	485
2	485
0	0
243	168
1210	0
9	881
20	881
2	0
45	102
243	0
230	4
2	136
0	181
2	178
0	172
0	0
491	0
771	213
71	7566
245	7566
1302	0
19	0
4059	0
1	698
2	714
0	738
9	724
47	0
2319	957
1184	0
2272	0
590	0
0	2
0	2
18	10
0	0
440	0
42	290
0	290
0	1726
1	1742
9	1657
2	1704
187	0
893	0
0	0
0	318
656	0
143	0
99	1772
0	1772
0	0
0	0
0	0
0	1
0	1
0	104
5	104
3	104
741	0
7556	0
0	1295
20	1295
0	421
286	736
4	736
514	0
367	0
565	0
354	0
0	0
69	0
3287	0
14230	0
0	3102
0	3024
0	3179
0	3107
7	3107
12	0
0	0
0	0
0	0
12	1034
0	1034
35	1034
8180	0
216	0
4272	0
1	0
4715	0
2110	0
1313	0
0	5874
0	6076
0	5857
0	6055
8	5968
0	0
2	2
0	0
0	1
0	0
0	85
3	85
0	584
0	620
211	984
51	354
0	364
1	370
2	317
0	0
1746	0
0	1101
23	1101
0	514
15	514
900	1
0	1397
0	1487
12	1401
1461	0
85	0
5	427
0	440
0	451
2	1
438	0
6970	0
0	0
76	231
5	1
4948	1
6	0
0	0
1006	12
4	3727
0	3847
72	3857
84	0
0	253
0	17
0	0
6	16
0	16
0	0
1	0
662	0
1	0
0	4
0	7
1	7
2	0
1	1793
290	1793
45	377
6	377
712	0
25	623
0	446
0	673
5	648
0	0
17	0
0	6
0	6
336	88
0	0
35	0
0	62
0	99
0	97
0	102
0	103
0	1
0	1
0	0
6	47
0	47
19	14
0	0
5	0
895	0
0	0
2	23224
2172	23321
20	0
3302	0
13	344
27	344
0	7490
499	7490
1	3356
52	3481
32	3481
1996	0
102	1556
0	1559
1	1404
0	0
5	521
25	518
4	0
542	7
12	0
0	5
0	5
2	5
0	0
332	3883
0	3883
0	159
1	159
0	157
0	362
0	420
0	390
13	420
921	0
54	0
0	0
0	0
0	0
0	0
143	0
1	1183
0	1185
44	1186
1	230
10	230
0	0
0	0
0	319
14	0
1	3685
0	4173
44	3833
18	4028
3	1214
0	1238
36	1170
666	0
12	194
1	191
3	204
6	0
12	0
64	0
20	21
6	1229
87	1229
2762	1330
85	0
9	0
0	5
0	5
4219	173
1184	0
171	0
166	1178
0	703
0	817
546	0
0	0
20	1233
15	1227
98	1247
2500	307
1461	0
0	18
2	17
0	13
172	0
1168	0
4343	105
0	402
0	353
0	393
0	426
0	415
0	413
0	437
0	426
0	334
0	404
0	437
0	286
0	379
0	424
0	401
0	404
0	346
0	65
0	77
1	64
0	77
0	0
146	0
1067	30
2117	0
0	0
9	0
2	0
0	209
1150	338
17	0
0	9811
2	9610
25	8983
22	9995
13	10244
29	1436
51	1440
24	1440
0	301
2	302
0	302
4	296
0	204
53	204
3	0
283	4062
1	3971
25	4014
196	6610
152	6610
0	8
0	547
5883	0
9	3
22	0
0	0
90	298
0	615
0	615
5	1343
1	1312
25	1344
75	0
45	0
0	0
1170	4
0	0
0	0
241	0
131	0
1215	2
0	0
0	0
133705	0
1	3
0	3
0	0
0	3257
113	3257
1508	0
1	20
16	8888
0	13043
0	12621
4	13625
1159	0
0	35457
1459	35457
1941	0
1618	0
1187	0
5	17496
0	16955
2	18319
0	456
13	519
1524	2
0	2824
500	2824
0	0
5	0
0	372
1	396
0	396
10	396
1	0
12	1488
24	1488
9	0
0	29
0	25
0	25
0	27
36	25
6100	5
0	220
139	226
2	1016
6	1053
65	1053
4	1876
106	1876
66	465
1	0
6	2908
1	2918
25	2904
0	2918
4	798
15	798
35	0
611	0
0	314
12	314
10	314
0	314
1903	0
0	519
8	577
3	551
0	586
9123	0
2893	0
46	1515
61	1515
3558	0
293	66
1998	451
0	0
1	0
0	0
2003	1
0	16
0	32
1	32
1	1284
0	1279
0	1284
4	661
4	661
13	0
9	364
0	364
0	10
0	10
0	10
0	1169
51	1169
0	0
0	0
1	0
3	616
0	616
63	615
2	2728
113	2728
0	0
0	229
1	184
1	225
1687	0
0	1693
134	0
0	60
0	60
4	0
79	0
20	0
61	0
4046	0
117	1026
3	1021
0	0
0	10
0	7
0	9
4062	2
0	55
12	55
147	0
0	0
2	0
260	1471
0	1471
0	0
272	32
0	26
0	7
1055	0
0	126
33	126
80	0
0	805
53	805
1254	0
0	0
8	3159
125	3159
1495	0
2	613
14	613
1379	2525
9	2525
10	2394
0	2486
4	2469
0	0
9	306
875	0
2	0
4	713
0	679
0	703
38	738
0	742
2	682
15	693
0	739
0	643
0	0
12	0
1	4238
123	4238
0	0
0	220
25	235
110	1762
0	1730
25	412
2	412
0	1243
21	1289
5	1523
2	1539
2	1544
4	1521
3	1536
0	1593
5641	0
1	294
10	294
0	0
0	0
0	121
0	121
1	117
2667	0
4	39
0	39
1	0
0	0
0	891
0	968
0	968
0	788
60	788
15363	1
6627	227
5708	6
0	16
4	15
0	12
232	4550
0	4550
4	1051
95	1051
0	911
4	1086
1	798
18	1045
63	1045
0	0
387	0
1	382
0	351
11	383
0	383
5	31
0	31
0	3066
21	4292
91	4304
0	362
1	334
4	343
978	0
154	0
64	0
0	0
52645	113170
0	113161
0	0
445	0
0	1777
1	1740
1	1806
3	1751
4	1710
0	1805
12	1758
9	1768
0	29
0	29
2	31
0	31
3409	0
1648	29
0	0
5	9
6	2062
749	2062
1130	0
1768	0
230	0
0	427
1221	0
0	56
0	58
0	57
0	55
0	55
0	58
0	56
0	57
0	57
0	56
1052	0
0	0
64	0
0	7
0	6
0	7
0	6
0	0
2	0
0	142
0	142
0	141
0	141
3	140
14	0
1386	0
0	600
0	603
16	557
0	589
0	14
0	14
2	0
2	888
71	888
468	0
0	0
315	0
4	572
0	526
0	571
5	3777
75	3777
0	0
65	0
56	896
0	0
2653	0
363	0
124	2
26	715
0	647
5	715
186	0
5526	4677
0	0
6	612
2	612
15	185
0	185
1077	0
24	489
0	471
10	484
2	2
65	0
3	88
0	88
5	0
1235	0
21	1772
12	1760
0	1809
0	0
7443	0
0	676
57	726
0	726
0	503
0	477
0	433
0	498
3	429
0	433
0	470
0	430
1	440
0	500
0	506
0	492
32	359
0	305
0	0
57	4589
315	4589
1	744
106	0
134	1
0	0
0	1051
364	1053
0	2
0	2
0	2
0	2
0	2
22	1111
58	1111
0	0
8	231
17	217
5	228
5	1689
0	1623
62	1690
4	1658
29	1636
7	14495
0	13912
0	15316
2	14437
0	14480
10	14855
1	13963
0	14522
0	0
52	531
2	531
61	2043
7	2046
9	2023
4	90
16	90
0	227
0	220
0	220
0	212
0	229
0	258
0	246
0	225
0	232
0	200
0	220
0	255
0	246
0	222
0	242
0	200
0	220
0	232
0	255
0	234
0	213
0	243
0	230
0	243
0	208
0	243
0	243
14531	3157
25	687
10	687
390	1
0	0
23	0
0	159
4	121
1	119
3	2938
0	3075
102	3075
0	3075
6	0
15	72
0	72
0	5049
0	4945
11	4987
0	4985
1	5
0	5
0	4
0	2380
17	2380
314	0
89	2600
106	2600
785	0
67	3512
23	3512
0	0
0	0
2808	4
40	2711
70	2711
3073	0
95	0
216	0
10	0
0	6
0	6
36	1017
2	1017
0	888
0	826
0	874
5	810
3	866
0	830
0	844
0	839
25	869
4	814
2572	0
1721	0
0	0
0	93
2	0
590	81
2307	0
2	317
0	453
0	517
7	486
7785	25788
753	0
0	62
0	64
0	64
3	64
2	302
19	821
5	821
3074	0
0	349
4	363
0	127
8	145
0	156
0	127
685	0
3	2914
1	2902
0	2988
0	2754
13449	0
41	1827
22	1827
0	187
7	191
0	181
19	0
5	720
0	720
0	0
0	0
0	0
715	68
827	0
20	3899
2464	3899
0	270
0	274
10	274
42	0
2674	0
1726	0
2	124
0	121
0	129
1800	83
0	171
0	181
1	183
0	183
0	0
0	0
7	1027
0	1085
0	1051
1059	0
10	0
0	0
149	1507
1	1507
0	21
1	21
7	751
0	751
2337	2
0	0
0	0
0	0
1	20284
568	20284
3	560
0	560
0	9
737	0
467	26
0	228
14	230
0	226
1	230
4	228
64	0
0	20
6	493
0	20
1870	0
521	6
2	1601
10	1601
1550	20
3	0
1	1275
0	1275
28	0
229	0
0	51
1	53
0	47
1596	1937
5	1937
605	1940
0	1934
1017	0
982	0
258	0
238	0
2	43
10	42
17	138
0	138
113	0
0	18
3	18
0	112
7	81
621	0
7	0
7	569
0	569
2	565
3	571
0	3867
39	4077
6	4077
0	0
2631	0
53	93
21	1018
4	917
1	580
2	1038
1	4495
287	4500
0	4495
4	4479
0	194
4	194
0	187
13	780
3	780
0	6
0	6
0	6
1	6
0	804
27	802
11	80
0	851
0	852
2	801
0	852
0	2847
727	2847
11	0
15430	4
0	606
0	602
0	573
0	586
42	594
0	34
0	34
2	1
483	0
0	4
0	4
0	4
50	1073
0	1074
0	1074
4	0
484	0
5	1347
38	1347
33	0
0	1437
47	1437
4	868
2	882
0	914
159	0
0	206
2475	0
1	0
0	0
0	0
0	112
0	122
0	121
21	0
3	433
0	439
1448	2
0	0
787	0
0	429
54	429
0	234
11	234
1	0
0	0
2	175
14	175
141	538
0	538
0	0
0	1
0	559
5	559
0	0
5	0
11	0
0	69
0	69
20	433
0	433
224	2650
0	2652
57	927
0	927
3	0
889	240
2651	0
0	140
0	170
0	170
0	160
0	164
0	131
0	136
159	0
0	2887
0	2857
6	2900
9	2856
4	2111
18	786
3	1955
50	2062
5	2023
89	356
0	338
0	0
0	0
620	0
1	1405
7	0
204	0
0	0
811	1
406	4
929	1
0	0
233	0
80	0
0	199
0	194
0	201
283	33
3582	0
0	454
0	469
0	468
0	472
0	465
0	0
1715	0
4744	0
1309	605
0	3695
245	3698
0	3698
65	53
4285	0
26	0
0	57
0	55
0	18
0	57
1415	0
0	0
4	265
869	0
0	0
1	951
3	956
0	956
42	952
4981	0
1211	0
0	196
27	199
0	0
12	413
52	413
3	0
543	24
0	8
0	8
400	0
0	49
1	49
104	1662
0	1662
95	0
583	0
3	2
57	0
0	0
289	0
3206	0
0	2702
1	2720
0	2565
0	2782
235	0
0	0
0	0
0	8
0	9
0	9
85	0
1	1790
36	1790
0	0
3	67
0	67
1	0
3	163
72	163
1	0
570	23
1	943
56	943
986	61
322	12
0	0
184	31
0	0
546	0
0	83
0	83
505	969
0	969
0	55
24	55
176	0
0	0
540	0
0	0
183	0
0	7
4	7
224	0
187	14
726	0
0	0
1	2413
64	2413
0	0
0	0
0	0
0	1
0	1
0	0
796	22
296	0
2046	0
0	0
0	47
0	38
0	47
0	0
12	177
1	182
0	185
0	0
399	1
827	8
3142	0
6	46
2813	0
144	0
0	0
0	152
2	152
76	0
905	0
24	87
0	87
0	3954
1	3920
74	3954
7522	3
2	0
13	0
725	7
155	2884
9	2884
37	13395
0	14217
0	14217
0	1263
3	1223
0	1300
162	14
335	0
9	647
21	647
513	0
2	1219
45	1427
1	1407
646	54179
3	54179
5	0
0	17
0	17
214	0
0	0
0	2773
123	2773
0	4232
0	2546
0	4301
81	2418
7	2418
0	543
154	543
0	0
76	0
2	291
19	291
2	0
0	202
0	202
0	0
0	22
2	22
765	2
12	0
5	154
0	154
0	11
0	11
0	12
0	11
0	0
157	0
0	6
1	6
0	0
2311	0
1	769
17	769
5847	22
