UniqueCount	AmbigCount
0	0
43	149
423	0
520	0
302	0
0	0
3089	0
5353	24
1	0
11	0
2064	965
172	0
35	0
14	0
811	0
1	0
803	2
1940	0
457	0
133	154
366	6
3	0
937	0
1113	0
1055	0
170	0
421	1726
2	0
6	0
4	256
3	309
0	274
0	322
45	0
96	0
30	0
772	0
2192	0
10	2
1	21057
0	33978
0	17718
3	34685
0	36897
0	398
0	409
11	425
0	384
5	365
0	11
0	0
0	310
1	6
0	0
1	204
2	204
578	0
440	155
4	211
0	211
5	31
0	32
0	25
47	1449
0	1449
0	1346
634	0
0	2176
0	2131
0	2151
0	2189
0	2212
0	2015
0	2122
0	2223
4	2186
1	1952
126699	51130
10	0
287	0
1	7
0	7
0	0
0	424
22	460
0	460
0	629
0	532
0	527
0	622
0	524
0	627
58	0
120	14
4	281
3	281
0	0
286	0
22	140
4	175
0	175
1145	0
2695	0
7	242
0	242
0	0
0	0
1	0
0	44
0	44
0	43
0	45
0	44
0	44
0	44
66	0
659	0
27427	0
2	655
0	742
10	715
5598	0
1	0
96	0
0	0
2	1675
39	1675
1	4459
2	4393
418	4484
4	1966
9	1975
7	1975
0	0
10	2518
50	2518
2	1054
33	1054
71	0
0	1
0	1
91	0
0	6
0	6
137	0
218	0
18	602
0	602
464	649
3	267
16	267
7	0
3029	0
1508	0
55	367
0	367
0	19
3	19
0	4304
120	4304
17	1038
0	1038
314	0
1	0
3	4
3	268
0	282
0	273
1	267
0	269
0	0
481	0
217	29
2	472
23	472
1436	0
89	0
15	1409
3	1706
25	1663
0	2793
1008	0
224	1422
0	1422
0	476
0	471
5	403
0	472
0	487
0	449
1	457
0	468
0	452
0	453
0	483
0	452
0	7938
0	7824
39	7825
0	7746
3	7715
721	0
0	0
231	0
0	285
0	285
0	277
0	261
0	259
0	291
0	277
0	275
0	283
0	279
0	273
0	0
621	11
610	0
1	188
84	188
70	0
348	0
1	0
194	4240
1	4240
0	643
188	643
0	0
626	0
5	0
1797	0
863	0
0	1
2	1
0	19
0	0
69	0
0	11
40	867
1	942
1	904
838	110
20	0
721	0
29	0
4192	18673
6	0
1	52
4	52
1428	0
0	582
49	582
0	0
1984	0
1	0
748	0
0	0
13	0
50	0
2436	0
2269	0
1381	0
386	0
141	768
0	768
14	537
1	0
0	0
0	433
9	472
2	466
1	0
0	338
0	348
0	338
0	306
2295	0
2	157
3	721
1	723
14	723
53	6038
3	6038
4397	0
1337	1
3144	0
14	13561
525	13561
0	722
3	722
1	722
0	0
1	56
3	56
606	0
0	1265
0	1283
0	1266
0	1265
0	1284
0	1274
0	1527
0	1450
12	1475
1	1398
0	894
2	1515
0	1521
0	96
6	96
157	760
0	757
0	0
0	40
2	42
1	42
286	24
0	558
1	558
40	769
49	769
1	703
2	646
15	703
115	2341
0	2341
4713	0
1	1487
2447	1487
0	1371
60	1234
1	1234
0	251
0	242
0	4006
169	4058
1	2857
0	2550
2	2976
0	2684
0	2851
1	2865
0	2841
0	2573
109	0
3879	40
0	0
0	690
20	690
1	452
16	452
2	104
0	55
3	99
0	103
2	55
0	105
1681	0
1	558
7	555
0	570
21	560
0	568
4734	34
890	20
2	0
148	411
0	408
4	0
5	8199
455	8199
1	196
0	200
0	219
0	0
0	1788
0	1788
0	11
1	11
0	6
218	0
1	7
0	7
28	0
1	807
0	700
0	568
0	669
1458	0
1324	0
1845	0
0	0
2	2077
133	2082
1	2071
3997	0
1	24
1	24
3	0
118	0
256	12
0	1
85	5
0	0
1798	0
0	74
0	82
2	75
0	0
27	0
482	1
1	0
583	0
1	0
0	55
0	55
0	55
329	0
0	777
1	784
46	784
0	0
314	0
0	5637
147	5637
0	0
0	0
141	22
5614	0
0	0
908	0
0	2334
60	2334
0	181
0	49
0	49
416	135
2	5
1377	0
131	0
1074	116
2491	0
1	38
0	38
1303	0
0	0
2040	0
30	0
43	965
24	942
601	0
1	579
0	573
0	560
0	595
1459	0
0	0
0	491
0	507
1	488
0	491
14	484
0	0
1747	0
0	0
23	2099
2	2105
0	2196
16	2104
20	0
0	59
0	0
88	3188
0	3188
5381	60191
7	60191
0	0
0	0
65	0
29195	222
824	0
865	0
434	0
20	577
3	577
1	33
1	33
2	29
1106	0
106	33
0	311
3	304
0	325
0	1945
142	1944
0	1922
0	737
0	745
0	716
0	708
184	26
0	0
853	428
0	42
0	100
0	101
0	2280
207	2303
0	2303
0	858
27	875
6	875
5	0
1	7
0	6
0	6
0	1
0	19
0	19
0	0
14	2157
0	2277
0	2238
0	0
28	2
11	2115
3	1799
9	2159
2631	0
25686	22
0	0
