UniqueCount	AmbigCount
0	0
43	122
452	0
517	0
311	0
0	0
2566	0
5256	20
0	0
5	0
1998	903
147	0
52	0
15	0
689	0
0	0
873	4
1775	0
509	0
103	125
337	14
2	0
762	0
1106	0
1115	0
133	0
561	1836
0	0
14	0
4	276
3	321
0	299
0	337
52	0
55	0
23	0
633	0
2287	0
8	1
0	17466
0	29143
0	14707
1	29982
0	31699
0	417
0	443
14	453
0	412
1	370
0	9
0	0
0	170
0	6
0	0
1	191
2	191
544	0
390	214
11	176
0	176
0	32
0	33
0	29
41	1895
0	1895
0	1799
820	0
0	2088
0	2022
0	2040
0	2108
0	2113
0	1914
0	2025
0	2123
3	2098
0	1845
90700	44360
16	0
322	0
0	18
0	18
0	0
0	280
11	298
0	298
1	591
0	505
0	499
0	575
0	494
0	580
64	0
151	15
3	310
9	310
0	0
239	0
11	157
1	157
0	157
1503	0
2615	0
4	201
0	201
0	0
0	0
1	0
0	21
0	21
0	21
0	21
0	21
0	21
0	21
66	0
377	0
38387	0
0	563
0	648
7	631
5840	0
0	0
90	1
0	0
0	1778
53	1778
0	5315
5	5238
507	5356
0	1890
15	1911
8	1910
0	0
5	2129
43	2129
3	1365
44	1365
53	0
0	3
0	3
49	0
0	4
0	4
170	0
218	0
22	506
0	506
436	567
4	243
13	243
6	0
2915	0
1571	0
53	349
0	349
0	12
6	12
1	4412
124	4412
8	1054
3	1054
350	0
0	0
0	4
3	273
0	287
0	274
0	279
0	282
1	0
438	1
200	21
1	358
21	358
1342	0
94	0
2	1564
3	1903
35	1859
0	3079
928	0
261	1467
0	1467
0	468
0	452
4	384
0	448
0	488
1	430
1	461
0	446
0	437
0	426
0	484
0	430
0	8218
0	8077
26	8106
0	7975
3	7980
489	0
0	0
210	0
0	202
0	197
0	199
0	190
0	189
0	202
0	196
0	193
0	201
0	197
0	192
0	0
543	15
559	0
0	190
94	190
29	0
292	0
2	0
289	3762
2	3762
0	577
133	577
0	0
777	0
5	0
1674	0
841	0
0	0
1	0
0	11
0	0
54	0
0	6
42	1098
1	1184
2	1148
730	79
25	0
736	0
35	0
6829	26954
7	0
0	59
1	59
1495	0
0	595
29	595
0	0
1918	0
0	0
418	0
2	0
17	0
44	0
2337	0
1808	0
1346	0
390	0
140	771
1	771
18	551
0	0
83	0
0	424
7	465
1	458
1	0
0	182
0	189
0	182
0	162
3245	0
1	160
4	726
4	727
11	727
53	6306
5	6306
5020	0
1429	0
2851	0
9	15518
589	15518
0	693
12	693
0	693
0	0
0	42
1	42
544	0
0	1317
0	1330
0	1317
0	1317
0	1330
0	1316
0	1782
0	1694
10	1713
1	1587
0	1052
2	1763
0	1767
0	109
12	109
207	704
0	698
0	0
2	19
2	20
2	20
276	19
3	419
0	419
58	622
51	622
1	645
2	559
20	645
139	2380
0	2379
4928	0
0	1453
1969	1453
0	1355
56	1390
0	1390
0	330
0	318
0	4578
209	4623
0	2824
0	2465
0	2919
0	2610
0	2807
0	2813
0	2757
0	2505
90	0
3384	19
0	0
1	565
16	565
1	466
10	466
1	119
0	65
3	111
0	119
2	65
0	120
1620	0
1	390
6	392
0	403
14	401
1	397
5785	33
801	7
2	0
145	457
0	455
3	0
4	9475
500	9475
0	235
1	240
0	266
1	0
1	1760
0	1760
0	11
0	11
0	7
155	0
1	6
0	6
31	0
3	790
0	657
0	538
0	628
1563	0
1148	0
1954	0
0	0
2	2086
129	2098
2	2089
4499	0
0	32
0	32
8	0
90	0
283	12
0	2
78	5
0	0
1804	0
0	84
0	91
6	85
0	0
38	1
527	1
3	0
458	0
5	0
0	73
0	73
0	72
289	0
1	752
1	756
53	756
1	0
228	0
0	5429
125	5429
0	0
0	0
179	25
5922	1
0	0
970	0
2	2051
36	2051
0	126
0	46
2	46
316	85
0	3
1221	0
118	0
809	94
1895	0
3	32
0	32
1165	0
0	1
1869	0
27	0
61	1197
35	1180
614	0
0	508
2	522
0	500
0	528
1213	0
0	0
0	438
0	460
0	436
0	448
5	431
0	0
1634	0
0	0
12	2212
2	2201
0	2283
12	2212
3	0
0	31
0	0
53	2944
0	2944
4643	61691
3	61691
0	0
0	0
55	0
28159	243
748	0
848	0
399	0
22	588
3	588
2	24
0	24
2	18
1108	0
107	37
0	371
1	351
0	381
0	1790
125	1789
0	1753
0	786
0	791
0	764
0	759
158	37
0	0
773	537
0	21
0	144
0	147
2	1905
152	1919
1	1919
0	929
31	945
10	945
7	0
0	4
0	4
0	3
0	0
0	18
2	18
0	0
16	2110
0	2231
0	2179
0	1
28	2
12	2136
3	1921
4	2218
3442	0
21562	24
0	0
0	0
1069	0
0	2400
1122	2400
0	0
880	4
1862	2
5	0
1	1
1893	0
0	670
3	656
1	690
2	652
0	668
2	211
10	211
3	5
0	12
0	12
387	0
7	3991
6	4111
1	3941
83	5058
1	3996
57	0
3029	0
915	0
281	4
1187	0
78	4
2	0
457	19
0	0
12	17
0	0
0	57
395	0
6550	0
630	0
79	1551
0	1551
79	1897
16	1897
1403	0
1	7751
0	7639
69	7751
33	0
1714	0
7	0
2956	0
51	0
0	0
0	0
0	326
14	326
25	210
187	295
20	216
1372	0
3	0
10	0
0	0
21	2253
19	2253
151	0
2	625
40	625
0	78
0	10
0	9
1066	0
25	0
1810	0
38	0
0	0
0	45
0	41
0	44
233	1243
41	0
151	0
113	1792
0	1789
4	420
4	420
0	130
0	41
0	41
35	905
132	905
354	2
24	617
1	617
1	338
0	313
0	338
2029	0
2	85
3	85
0	1387
302	1696
0	1903
0	1804
0	331
6	349
3157	1
