UniqueCount	AmbigCount
0	0
39	114
329	0
543	0
307	0
0	0
2962	0
5391	19
1	0
5	0
1964	865
146	0
31	0
11	0
924	0
0	2
765	0
1723	0
404	0
128	157
401	13
7	0
832	0
1084	0
1060	0
158	0
411	1592
0	2
8	0
5	295
1	363
1	316
0	379
69	0
83	0
33	0
713	0
2507	0
1	0
0	19073
0	31552
0	16174
0	32113
0	34152
0	330
0	352
15	357
0	326
2	287
0	10
0	0
0	310
0	3
0	0
2	214
3	214
549	0
659	270
10	219
1	219
1	32
0	33
0	30
52	1666
0	1666
0	1554
634	0
0	2035
0	1991
0	2009
0	2047
0	2066
0	1881
0	1984
0	2075
4	2048
0	1831
130061	58229
9	0
294	0
3	11
0	11
0	0
0	394
28	422
0	422
1	559
0	449
0	447
0	560
0	446
0	562
56	0
131	18
3	288
5	288
0	0
414	0
16	151
3	155
1	155
1256	0
2946	0
3	214
2	214
0	0
0	0
0	0
0	31
0	31
0	30
0	34
0	31
0	31
0	33
71	0
579	0
28285	0
1	613
0	690
6	667
6531	0
3	0
109	0
1	0
0	1974
49	1974
0	4834
3	4762
463	4874
2	1927
8	1938
8	1938
0	0
6	2405
65	2405
0	1159
43	1159
60	0
0	0
0	0
71	0
0	10
0	9
125	0
171	0
21	567
0	567
419	589
3	203
9	203
8	0
2891	0
1505	1
48	346
0	346
0	14
12	14
0	4415
126	4415
9	945
0	945
328	0
1	0
4	6
0	216
0	231
0	221
0	216
0	222
0	0
453	0
190	24
5	402
20	402
1432	0
86	0
9	1278
2	1559
20	1515
0	2569
1049	0
253	1360
1	1360
0	491
0	485
4	409
0	481
0	506
0	469
3	481
0	480
1	471
0	464
0	500
0	468
0	7786
0	7684
25	7674
0	7607
6	7560
507	0
0	0
281	0
0	276
0	272
0	275
0	265
0	265
0	277
0	271
0	267
0	276
0	271
0	267
0	0
542	22
530	0
1	205
107	205
39	0
325	0
2	0
245	3490
1	3490
0	592
161	592
0	0
693	0
4	0
1676	0
1002	0
0	1
0	1
0	17
0	0
54	0
0	7
42	935
2	1014
1	980
788	103
11	0
611	0
39	0
5173	21244
7	0
0	42
1	42
1752	0
0	575
45	575
0	0
1983	0
0	0
679	0
3	0
9	0
43	0
2479	0
2141	0
1204	0
408	0
140	850
0	850
14	592
0	0
659	2
0	390
6	418
5	410
4	0
0	224
0	239
1	224
0	207
2615	0
2	188
5	766
2	767
15	767
42	5691
2	5691
5249	0
1343	0
3068	0
20	13113
546	13113
0	689
8	689
1	689
0	0
1	26
2	26
480	0
0	1140
0	1155
0	1140
0	1139
0	1155
0	1147
0	1613
0	1536
14	1544
1	1432
0	966
5	1594
0	1598
0	100
13	100
177	794
0	791
0	0
0	30
1	30
1	30
294	11
3	523
0	523
57	774
59	774
2	745
1	652
15	745
155	2555
0	2554
5080	0
0	1451
2015	1451
0	1358
50	1145
0	1145
0	290
0	272
1	3699
164	3756
0	2639
0	2337
1	2731
0	2454
0	2629
1	2644
0	2590
0	2365
91	0
3830	28
0	0
0	604
18	604
2	467
19	467
2	98
0	47
2	87
0	95
10	47
0	100
1657	0
0	479
6	479
0	487
15	484
0	488
4974	48
974	17
0	0
131	393
1	390
3	0
5	8733
440	8733
0	250
1	249
0	272
0	0
2	1802
0	1802
0	11
0	11
0	11
175	0
2	8
0	8
15	0
0	767
0	617
0	505
0	589
1366	1
1689	0
1804	0
0	0
1	1953
123	1958
4	1954
4367	0
0	40
0	40
7	0
134	0
231	9
0	4
