Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1p_1	Peptides clp1p_2	Peptides clp1p_3	Peptides clp1p_4	Peptides clp1s_1	Peptides clp1s_2	Peptides clp1s_3	Peptides clp1s_4	Peptides clp2p_1	Peptides clp2p_2	Peptides clp2p_3	Peptides clp2p_4	Peptides clp2s_1	Peptides clp2s_2	Peptides clp2s_3	Peptides clp2s_4	Peptides pool_p	Peptides pool_s	Peptides wtp_1	Peptides wtp_2	Peptides wtp_3	Peptides wtp_4	Peptides wts_1	Peptides wts_2	Peptides wts_3	Peptides wts_4	Razor + unique peptides blank	Razor + unique peptides clp1p_1	Razor + unique peptides clp1p_2	Razor + unique peptides clp1p_3	Razor + unique peptides clp1p_4	Razor + unique peptides clp1s_1	Razor + unique peptides clp1s_2	Razor + unique peptides clp1s_3	Razor + unique peptides clp1s_4	Razor + unique peptides clp2p_1	Razor + unique peptides clp2p_2	Razor + unique peptides clp2p_3	Razor + unique peptides clp2p_4	Razor + unique peptides clp2s_1	Razor + unique peptides clp2s_2	Razor + unique peptides clp2s_3	Razor + unique peptides clp2s_4	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wtp_1	Razor + unique peptides wtp_2	Razor + unique peptides wtp_3	Razor + unique peptides wtp_4	Razor + unique peptides wts_1	Razor + unique peptides wts_2	Razor + unique peptides wts_3	Razor + unique peptides wts_4	Unique peptides blank	Unique peptides clp1p_1	Unique peptides clp1p_2	Unique peptides clp1p_3	Unique peptides clp1p_4	Unique peptides clp1s_1	Unique peptides clp1s_2	Unique peptides clp1s_3	Unique peptides clp1s_4	Unique peptides clp2p_1	Unique peptides clp2p_2	Unique peptides clp2p_3	Unique peptides clp2p_4	Unique peptides clp2s_1	Unique peptides clp2s_2	Unique peptides clp2s_3	Unique peptides clp2s_4	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wtp_1	Unique peptides wtp_2	Unique peptides wtp_3	Unique peptides wtp_4	Unique peptides wts_1	Unique peptides wts_2	Unique peptides wts_3	Unique peptides wts_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1p_1 [%]	Sequence coverage clp1p_2 [%]	Sequence coverage clp1p_3 [%]	Sequence coverage clp1p_4 [%]	Sequence coverage clp1s_1 [%]	Sequence coverage clp1s_2 [%]	Sequence coverage clp1s_3 [%]	Sequence coverage clp1s_4 [%]	Sequence coverage clp2p_1 [%]	Sequence coverage clp2p_2 [%]	Sequence coverage clp2p_3 [%]	Sequence coverage clp2p_4 [%]	Sequence coverage clp2s_1 [%]	Sequence coverage clp2s_2 [%]	Sequence coverage clp2s_3 [%]	Sequence coverage clp2s_4 [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wtp_1 [%]	Sequence coverage wtp_2 [%]	Sequence coverage wtp_3 [%]	Sequence coverage wtp_4 [%]	Sequence coverage wts_1 [%]	Sequence coverage wts_2 [%]	Sequence coverage wts_3 [%]	Sequence coverage wts_4 [%]	Intensity	Intensity blank	Intensity clp1p_1	Intensity clp1p_2	Intensity clp1p_3	Intensity clp1p_4	Intensity clp1s_1	Intensity clp1s_2	Intensity clp1s_3	Intensity clp1s_4	Intensity clp2p_1	Intensity clp2p_2	Intensity clp2p_3	Intensity clp2p_4	Intensity clp2s_1	Intensity clp2s_2	Intensity clp2s_3	Intensity clp2s_4	Intensity pool_p	Intensity pool_s	Intensity wtp_1	Intensity wtp_2	Intensity wtp_3	Intensity wtp_4	Intensity wts_1	Intensity wts_2	Intensity wts_3	Intensity wts_4	iBAQ	iBAQ blank	iBAQ clp1p_1	iBAQ clp1p_2	iBAQ clp1p_3	iBAQ clp1p_4	iBAQ clp1s_1	iBAQ clp1s_2	iBAQ clp1s_3	iBAQ clp1s_4	iBAQ clp2p_1	iBAQ clp2p_2	iBAQ clp2p_3	iBAQ clp2p_4	iBAQ clp2s_1	iBAQ clp2s_2	iBAQ clp2s_3	iBAQ clp2s_4	iBAQ pool_p	iBAQ pool_s	iBAQ wtp_1	iBAQ wtp_2	iBAQ wtp_3	iBAQ wtp_4	iBAQ wts_1	iBAQ wts_2	iBAQ wts_3	iBAQ wts_4	LFQ intensity blank	LFQ intensity clp1p_1	LFQ intensity clp1p_2	LFQ intensity clp1p_3	LFQ intensity clp1p_4	LFQ intensity clp1s_1	LFQ intensity clp1s_2	LFQ intensity clp1s_3	LFQ intensity clp1s_4	LFQ intensity clp2p_1	LFQ intensity clp2p_2	LFQ intensity clp2p_3	LFQ intensity clp2p_4	LFQ intensity clp2s_1	LFQ intensity clp2s_2	LFQ intensity clp2s_3	LFQ intensity clp2s_4	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wtp_1	LFQ intensity wtp_2	LFQ intensity wtp_3	LFQ intensity wtp_4	LFQ intensity wts_1	LFQ intensity wts_2	LFQ intensity wts_3	LFQ intensity wts_4	MS/MS count blank	MS/MS count clp1p_1	MS/MS count clp1p_2	MS/MS count clp1p_3	MS/MS count clp1p_4	MS/MS count clp1s_1	MS/MS count clp1s_2	MS/MS count clp1s_3	MS/MS count clp1s_4	MS/MS count clp2p_1	MS/MS count clp2p_2	MS/MS count clp2p_3	MS/MS count clp2p_4	MS/MS count clp2s_1	MS/MS count clp2s_2	MS/MS count clp2s_3	MS/MS count clp2s_4	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wtp_1	MS/MS count wtp_2	MS/MS count wtp_3	MS/MS count wtp_4	MS/MS count wts_1	MS/MS count wts_2	MS/MS count wts_3	MS/MS count wts_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT1G01090.1	AT1G01090.1	4	4	4	AT1G01090.1 | pyruvate dehydrogenase E1 alpha | Chr1:47705-49166 REVERSE LENGTH=428 | 201606	1	4	4	4	0	1	4	3	4	0	1	1	0	2	1	2	0	0	0	0	0	1	3	1	2	2	2	0	0	0	0	0	1	4	3	4	0	1	1	0	2	1	2	0	0	0	0	0	1	3	1	2	2	2	0	0	0	0	0	1	4	3	4	0	1	1	0	2	1	2	0	0	0	0	0	1	3	1	2	2	2	0	0	0	0	10.3	10.3	10.3	47.173	428	428	1	32	0	9.6883	0	3.3	10.3	10.3	10.3	0	3.3	3.3	0	7	3.3	7	0	0	0	0	0	3.3	7.5	3.3	7	7.5	7	0	0	0	0	63708000	0	1379000	7476400	5956500	13431000	0	2371700	2614700	0	2791200	916100	4657900	0	0	0	0	0	814750	6316800	1324700	2862500	5677100	5117200	0	0	0	0	2654500	0	57456	311520	248190	559640	0	98820	108940	0	116300	38171	194080	0	0	0	0	0	33948	263200	55195	119270	236550	213220	0	0	0	0	0	0	318190	262420	440730	0	0	0	0	177880	0	255480	0	0	0	0	0	0	325220	0	305940	374810	429680	0	0	0	0	0	1	4	4	5	0	1	1	0	2	1	2	0	0	0	0	0	1	3	1	2	2	3	0	0	0	0	33				0	2457;2834;6453;6558	True;True;True;True	2524;2907;6647;6754	28945;28946;28947;28948;28949;33698;33699;33700;33701;33702;33703;33704;78213;78214;78215;79259;79260;79261;79262;79263;79264;79265;79266;79267;79268;79269;79270;79271;79272;79273;79274;79275	30714;30715;30716;30717;30718;35750;35751;35752;35753;35754;35755;35756;35757;83075;83076;83077;84187;84188;84189;84190;84191;84192;84193;84194;84195;84196;84197;84198;84199;84200;84201;84202;84203	30716;35757;83075;84195		
AT1G01170.2;AT1G01170.1	AT1G01170.2;AT1G01170.1	1;1	1;1	1;1	AT1G01170.2 | ozone-responsive stress-like protein (DUF1138) | Chr1:74105-74443 REVERSE LENGTH=83 | 201606;AT1G01170.1 | ozone-responsive stress-like protein (DUF1138) | Chr1:74105-74443 REVERSE LENGTH=83 | 201606	2	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	15.7	15.7	15.7	9.0623	83	83;83	1	7	0.0040355	2.8377	0	0	0	0	0	15.7	15.7	0	15.7	0	0	0	0	0	15.7	0	15.7	15.7	0	0	0	0	0	0	0	0	15.7	288650000	0	0	0	0	0	24239000	41679000	0	45542000	0	0	0	0	0	68504000	0	42176000	19977000	0	0	0	0	0	0	0	0	46535000	72163000	0	0	0	0	0	6059700	10420000	0	11386000	0	0	0	0	0	17126000	0	10544000	4994200	0	0	0	0	0	0	0	0	11634000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797430	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	7				1	7474	True	7687	90432;90433;90434;90435;90436;90437;90438	96104;96105;96106;96107;96108;96109;96110	96108		
AT1G01290.2;AT1G01290.1	AT1G01290.2;AT1G01290.1	1;1	1;1	1;1	AT1G01290.2 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | Chr1:114299-115296 FORWARD LENGTH=270 | 201606;AT1G01290.1 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | Chr1:114299-115296 FORWARD LENGTH=270 | 201606	2	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4.1	4.1	4.1	29.512	270	270;270	1	6	0	3.788	0	0	4.1	4.1	4.1	0	0	0	0	4.1	4.1	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	4583000	0	0	781740	1060600	686820	0	0	0	0	1062200	310240	0	0	0	0	0	0	0	0	0	0	681460	0	0	0	0	0	352540	0	0	60134	81581	52832	0	0	0	0	81704	23864	0	0	0	0	0	0	0	0	0	0	52420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39078	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6				2	5885	True	6064	71510;71511;71512;71513;71514;71515	75949;75950;75951;75952;75953;75954	75953		
AT3G61430.2;AT3G61430.1;AT1G01620.1;AT4G00430.1;AT1G01620.2;AT4G00430.2;AT2G45960.2;AT2G45960.1;AT3G54820.1;AT4G23400.1;AT2G45960.3	AT3G61430.2;AT3G61430.1;AT1G01620.1;AT4G00430.1;AT1G01620.2;AT4G00430.2;AT2G45960.2;AT2G45960.1;AT3G54820.1;AT4G23400.1;AT2G45960.3	2;2;2;2;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1	AT3G61430.2 | plasma membrane intrinsic protein 1A | Chr3:22733657-22735113 FORWARD LENGTH=286 | 201606;AT3G61430.1 | plasma membrane intrinsic protein 1A | Chr3:22733657-22735113 FORWARD LENGTH=286 | 201606;AT1G01620.1 | plasma membrane intrinsic protein 	11	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	6.6	6.6	6.6	30.688	286	286;286;286;287;214;219;274;286;286;287;301	1	5	0.004	2.7237	3.5	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	3.1	0	3.1	39065000	57957	0	0	0	0	0	9159800	0	0	0	0	0	0	0	0	8068600	0	0	0	0	0	0	0	0	11385000	0	10393000	4883100	7244.6	0	0	0	0	0	1145000	0	0	0	0	0	0	0	0	1008600	0	0	0	0	0	0	0	0	1423200	0	1299100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4				3	5596;7052	True;True	5742;7253	68275;68276;68277;68278;84953	72456;72457;72458;72459;90269	72458;90269		
AT1G01710.1	AT1G01710.1	2	2	2	AT1G01710.1 | acyl-CoA thioesterase II | Chr1:262950-266029 FORWARD LENGTH=427 | 201606	1	2	2	2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	2	1	6.1	6.1	6.1	48.155	427	427	1	11	0	4.8288	0	0	0	0	0	2.3	2.3	0	2.3	0	0	0	0	2.3	2.3	0	2.3	0	0	0	0	0	0	2.3	2.3	6.1	2.3	46856000	0	0	0	0	0	4051000	3736600	0	5085900	0	0	0	0	4124800	6820700	0	4671500	0	0	0	0	0	0	4290300	3670000	6523000	3882700	2231300	0	0	0	0	0	192910	177930	0	242190	0	0	0	0	196420	324800	0	222450	0	0	0	0	0	0	204300	174760	310620	184890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138930	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	6				4	2739;8247	True;True	2811;8475	32486;32487;32488;32489;32490;32491;32492;32493;32494;32495;100881	34436;34437;34438;34439;34440;34441;34442;34443;34444;34445;107226	34440;107226		
AT1G01820.1	AT1G01820.1	4	3	3	AT1G01820.1 | peroxin 11c | Chr1:296213-297723 REVERSE LENGTH=235 | 201606	1	4	3	3	1	0	0	0	0	3	2	4	4	0	0	0	0	3	2	3	4	4	0	1	0	0	0	4	2	4	3	0	0	0	0	0	2	1	3	3	0	0	0	0	2	1	2	3	3	0	0	0	0	0	3	1	3	2	0	0	0	0	0	2	1	3	3	0	0	0	0	2	1	2	3	3	0	0	0	0	0	3	1	3	2	19.6	14.9	14.9	25.912	235	235	1	34	0	14.511	4.7	0	0	0	0	13.6	13.6	19.6	19.6	0	0	0	0	13.6	13.6	13.6	19.6	19.6	0	4.7	0	0	0	19.6	13.6	19.6	13.6	313880000	0	0	0	0	0	24938000	24854000	33360000	22794000	0	0	0	0	25441000	29502000	8809700	25433000	16503000	0	0	0	0	0	42319000	17597000	25772000	16553000	28534000	0	0	0	0	0	2267100	2259400	3032800	2072200	0	0	0	0	2312800	2682000	800880	2312100	1500300	0	0	0	0	0	3847200	1599700	2342900	1504800	0	0	0	0	0	716980	0	634200	466040	0	0	0	0	493490	551320	342150	528080	523390	0	0	0	0	0	608510	0	569100	0	0	0	0	0	0	3	1	4	3	0	0	0	0	2	2	2	4	3	0	0	0	0	0	5	1	4	2	36				5	1774;2395;2396;3203	True;True;True;False	1826;2460;2461;3283	21337;21338;21339;21340;21341;21342;28137;28138;28139;28140;28141;28142;28143;28144;28145;28146;28147;28148;28149;28150;28151;28152;28153;28154;28155;28156;28157;28158;28159;28160;28161;28162;28163;28164;38227;38228;38229;38230;38231;38232;38233;38234;38235;38236;38237;38238;38239;38240;38241;38242	22604;22605;22606;22607;22608;22609;29859;29860;29861;29862;29863;29864;29865;29866;29867;29868;29869;29870;29871;29872;29873;29874;29875;29876;29877;29878;29879;29880;29881;29882;29883;29884;29885;29886;29887;29888;29889;40547;40548;40549;40550;40551;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561;40562	22607;29869;29884;40552		
AT1G02160.1;AT1G02160.2	AT1G02160.1;AT1G02160.2	1;1	1;1	1;1	AT1G02160.1 | Cox19 family protein (CHCH motif) | Chr1:410803-411383 FORWARD LENGTH=71 | 201606;AT1G02160.2 | Cox19 family protein (CHCH motif) | Chr1:410803-411361 FORWARD LENGTH=91 | 201606	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21.1	21.1	21.1	8.061	71	71;91	1	2	0.0024979	3.1129	0	0	0	0	0	0	0	0	21.1	0	0	0	0	0	0	0	21.1	0	0	0	0	0	0	0	0	0	0	6620400	0	0	0	0	0	0	0	0	3379900	0	0	0	0	0	0	0	3240500	0	0	0	0	0	0	0	0	0	0	1655100	0	0	0	0	0	0	0	0	844980	0	0	0	0	0	0	0	810130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2				6	4072	True	4180	49928;49929	52984;52985	52985		
AT1G02370.1	AT1G02370.1	3	3	3	AT1G02370.1 | Tetratricopeptide repeat (TPR)-like superfamily protein | Chr1:474516-476383 FORWARD LENGTH=537 | 201606	1	3	3	3	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	9.1	9.1	9.1	60.353	537	537	1	11	0	5.0279	0	2	0	2	4.3	0	0	0	0	2	0	2	0	0	2.8	0	2.8	0	2	2	0	4.8	0	0	0	0	0	31200000	0	1540100	0	2910100	867800	0	0	0	0	2285000	0	2321800	0	0	7672100	0	5267900	0	2114500	1512700	0	4707700	0	0	0	0	0	1155600	0	57042	0	107780	32141	0	0	0	0	84631	0	85994	0	0	284150	0	195110	0	78316	56026	0	174360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269960	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	11				7	5390;5957;7921	True;True;True	5528;6140;8141	65893;65894;65895;72691;96645;96646;96647;96648;96649;96650;96651	69914;69915;69916;77241;102691;102692;102693;102694;102695;102696;102697	69915;77241;102695		
AT1G02410.3;AT1G02410.2;AT1G02410.1	AT1G02410.3;AT1G02410.2;AT1G02410.1	5;5;5	5;5;5	5;5;5	AT1G02410.3 | cytochrome c oxidase assembly protein CtaG / Cox11 family | Chr1:491300-492762 FORWARD LENGTH=287 | 201606;AT1G02410.2 | cytochrome c oxidase assembly protein CtaG / Cox11 family | Chr1:491300-492762 FORWARD LENGTH=287 | 201606;AT1G02410.1 | 	3	5	5	5	0	0	0	0	0	4	4	5	4	0	0	0	0	2	3	4	4	4	0	1	0	0	0	5	3	3	3	0	0	0	0	0	4	4	5	4	0	0	0	0	2	3	4	4	4	0	1	0	0	0	5	3	3	3	0	0	0	0	0	4	4	5	4	0	0	0	0	2	3	4	4	4	0	1	0	0	0	5	3	3	3	27.5	27.5	27.5	32.604	287	287;287;287	1	52	0	48.239	0	0	0	0	0	22.6	22.6	27.5	22.6	0	0	0	0	13.2	15	22.6	22.6	22	0	5.9	0	0	0	27.5	14.3	16.4	15	234200000	0	0	0	0	0	18272000	32428000	26345000	17829000	0	0	0	0	4704100	27598000	8932200	16715000	7385800	0	830330	0	0	0	28172000	12355000	17868000	14766000	13776000	0	0	0	0	0	1074800	1907500	1549700	1048700	0	0	0	0	276710	1623400	525420	983210	434460	0	48843	0	0	0	1657200	726750	1051000	868600	0	0	0	0	0	352520	430840	400680	364140	0	0	0	0	0	443150	460860	367760	329370	0	0	0	0	0	438560	352880	397870	319940	0	0	0	0	0	5	5	6	6	0	0	0	0	2	3	5	6	4	0	1	0	0	0	6	3	3	3	58				8	3533;7261;7574;8413;8658	True;True;True;True;True	3618;7468;7790;8644;8894	42835;42836;42837;42838;42839;42840;42841;42842;42843;42844;42845;87667;87668;87669;87670;87671;87672;87673;87674;87675;87676;87677;87678;87679;91942;91943;91944;91945;91946;103080;103081;103082;103083;103084;103085;103086;103087;103088;103089;103090;103091;103092;106052;106053;106054;106055;106056;106057;106058;106059;106060;106061	45454;45455;45456;45457;45458;45459;45460;45461;45462;45463;45464;45465;45466;45467;93158;93159;93160;93161;93162;93163;93164;93165;93166;93167;93168;93169;93170;97702;97703;97704;97705;97706;109553;109554;109555;109556;109557;109558;109559;109560;109561;109562;109563;109564;109565;109566;112666;112667;112668;112669;112670;112671;112672;112673;112674;112675;112676;112677;112678;112679	45466;93168;97706;109563;112673		
AT1G02560.1	AT1G02560.1	2	2	2	AT1G02560.1 | nuclear encoded CLP protease 5 | Chr1:538000-539805 FORWARD LENGTH=298 | 201606	1	2	2	2	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	14.1	14.1	14.1	32.356	298	298	1	10	0	4.5341	0	0	14.1	0	14.1	0	9.4	0	0	0	9.4	0	0	0	0	0	0	0	0	0	14.1	4.7	4.7	0	0	0	0	23674000	0	0	3148400	0	5676200	0	6951700	0	0	0	2278900	0	0	0	0	0	0	0	0	0	3613500	1306200	699050	0	0	0	0	1479600	0	0	196780	0	354770	0	434480	0	0	0	142430	0	0	0	0	0	0	0	0	0	225840	81639	43691	0	0	0	0	0	0	196370	0	235320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289940	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	11				9	3959;3985	True;True	4062;4091	48475;48476;48477;48478;48479;48845;48846;48847;48848;48849	51436;51437;51438;51439;51440;51836;51837;51838;51839;51840;51841	51437;51837		
