Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT1G70190	AT1G70190.1	ribosomal protein L7/L12 domain-containing protein;(source:Araport11)	protein_coding			
AT2G45030	AT2G45030.1	Translation elongation factor EFG/EF2 protein;(source:Araport11)	protein_coding			
AT5G47890	AT5G47890.1	NADH-ubiquinone oxidoreductase B8 subunit;(source:Araport11)	protein_coding			
AT2G44525	AT2G44525.1	NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor-like protein (DUF498/DUF598);(source:Araport11)	protein_coding			
AT2G31240	AT2G31240.1	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	protein_coding			
AT5G55610	AT5G55610.1	isopentenyl-diphosphate delta-isomerase;(source:Araport11)	protein_coding			
AT3G62530	AT3G62530.1	ARM repeat superfamily protein;(source:Araport11)	protein_coding			
AT3G12260	AT3G12260.1	LYR family of Fe/S cluster biogenesis protein;(source:Araport11)	protein_coding			
AT5G40660	AT5G40660.1	ATP12 protein-like protein;(source:Araport11)	protein_coding			
AT1G15120	AT1G15120.2	Ubiquinol-cytochrome C reductase hinge protein;(source:Araport11)	protein_coding			
AT4G35850	AT4G35850.1	Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)	protein_coding			
AT1G72170	AT1G72170.1	MICOS complex subunit, putative (DUF543);(source:Araport11)	protein_coding			
AT2G16710	AT2G16710.3	Iron-sulfur cluster biosynthesis family protein;(source:Araport11)	protein_coding			
AT4G11120	AT4G11120.1	translation elongation factor Ts (EF-Ts);(source:Araport11)	protein_coding			
AT3G02650	AT3G02650.1	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	protein_coding			
AT4G25315	AT4G25315.1	Expressed protein;(source:Araport11)	protein_coding			
AT4G21020	AT4G21020.1	Late embryogenesis abundant protein (LEA) family protein;(source:Araport11)	protein_coding			
AT4G02580	AT4G02580.1	NADH-ubiquinone oxidoreductase 24 kDa subunit;(source:Araport11)	protein_coding			
AT5G19760	AT5G19760.1	Encodes a novel mitochondrial carrier capable of transporting both dicarboxylates (such as malate, oxaloacetate, oxoglutarate, and maleate) and tricarboxylates (such as citrate, isocitrate, cis-aconitate, and trans-aconitate).	protein_coding			
AT5G51440	AT5G51440.1	HSP20-like chaperones superfamily protein;(source:Araport11)	protein_coding			
AT1G64880	AT1G64880.1	Ribosomal protein S5 family protein;(source:Araport11)	protein_coding			
AT1G26460	AT1G26460.1	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	protein_coding			
AT5G64670	AT5G64670.1	Ribosomal protein L18e/L15 superfamily protein;(source:Araport11)	protein_coding			
AT5G08690	AT5G08690.1	Encodes the mitochondrial ATP synthase beta-subunit.  This subunit is encoded by a multigene family of three members (At5g08670, At5g08680, At5g08690) that shared 98% sequence identity at the amino acid level. The mRNA is cell-to-cell mobile.	protein_coding			
AT4G15640	AT4G15640.1	adenylyl cyclase;(source:Araport11)	protein_coding			
AT3G27240	AT3G27240.1	Cytochrome C1 family;(source:Araport11)	protein_coding			
AT1G51980	AT1G51980.1	Insulinase (Peptidase family M16) protein;(source:Araport11)	protein_coding			
AT5G20080	AT5G20080.1	FAD/NAD(P)-binding oxidoreductase;(source:Araport11)	protein_coding			
AT5G02740	AT5G02740.1	Ribosomal protein S24e family protein;(source:Araport11)	protein_coding			
AT4G29480	AT4G29480.1	Mitochondrial ATP synthase subunit G protein;(source:Araport11)	protein_coding			
AT1G34360	AT1G34360.1	translation initiation factor 3 (IF-3) family protein;(source:Araport11)	protein_coding	 (ATINFC-1)	INITIATION FACTOR 3-1 (ATIF3-1); (ATINFC-1)	
AT3G02090	AT3G02090.2	Insulinase (Peptidase family M16) protein;(source:Araport11)	protein_coding	 (MPPBETA)	 (MPPBETA)	
ATCG00490	ATCG00490.1	large subunit of RUBISCO. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.	protein_coding	 (RBCL)	 (RBCL)	
AT5G08530	AT5G08530.1	51 kDa subunit of complex I;(source:Araport11)	protein_coding	51 KDA SUBUNIT OF COMPLEX I (CI51)	51 KDA SUBUNIT OF COMPLEX I (CI51); (NDUFV1)	
AT2G37250	AT2G37250.1	encodes adenylate kinase that is located in the chloroplast involved in the coordination of metabolism and growth	protein_coding	ADENOSINE KINASE (ADK)	ADENOSINE KINASE (ADK); (ATPADK1)	
AT5G63400	AT5G63400.1	encodes a protein similar to adenylate kinase.	protein_coding	ADENYLATE KINASE 1 (ADK1)	ADENYLATE KINASE 1 (ADK1)	
AT3G08580	AT3G08580.1	mitochondrial ADP/ATP carrier	protein_coding	ADP/ATP CARRIER 1 (AAC1)	ADP/ATP CARRIER 1 (AAC1)	
AT2G43360	AT2G43360.1	Catalyzes the conversion of dethiobiotin to biotin.	protein_coding	BIOTIN AUXOTROPH 2 (BIO2)	BIOTIN AUXOTROPH 2 (BIO2);BIOTIN AUXOTROPH B (BIOB)	
AT5G53350	AT5G53350.1	CLP protease regulatory subunit CLPX mRNA, nuclear gene	protein_coding	CLP PROTEASE REGULATORY SUBUNIT X (CLPX)	CLP PROTEASE REGULATORY SUBUNIT X (CLPX)	
AT1G22450	AT1G22450.1	subunit 6b of cytochrome c oxidase	protein_coding	CYTOCHROME C OXIDASE 6B (COX6B)	CYTOCHROME C OXIDASE 6B (COX6B);CYTOCHROME C OXIDASE 6B2 (ATCOX6B2)	
AT5G37510	AT5G37510.2	Encodes a subunit of the 400 kDa subcomplex of the mitochondrial NADH dehydrogenase (complex I).  The protein has been isolated in the male gametophyte. The mRNA is cell-to-cell mobile.	protein_coding	EMBRYO DEFECTIVE 1467 (EMB1467)	EMBRYO DEFECTIVE 1467 (EMB1467); (CI76)	
AT2G31060	AT2G31060.3	elongation factor family protein;(source:Araport11)	protein_coding	EMBRYO DEFECTIVE 2785 (EMB2785)	EMBRYO DEFECTIVE 2785 (EMB2785)	
AT5G62270	AT5G62270.2	ribosomal protein L20;(source:Araport11)	protein_coding	GAMETE CELL DEFECTIVE 1 (GCD1)	GAMETE CELL DEFECTIVE 1 (GCD1)	
AT5G48030	AT5G48030.1	encodes a mitochondrially targeted DNAJ protein involved in female gametophyte development.	protein_coding	GAMETOPHYTIC FACTOR 2 (GFA2)	GAMETOPHYTIC FACTOR 2 (GFA2)	
AT2G33040	AT2G33040.1	gamma subunit of Mt ATP synthase;(source:Araport11)	protein_coding	GAMMA SUBUNIT OF MT ATP SYNTHASE (ATP3)	GAMMA SUBUNIT OF MT ATP SYNTHASE (ATP3)	
AT1G54010	AT1G54010.1	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.	protein_coding	GDSL-LIKE LIPASE 23 (GLL23)	GDSL-LIKE LIPASE 23 (GLL23)	
