Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT1G29880.1,  Symbols:    glycyl-tRNA synthetase / glycine--tRNA ligase   chr1:10459662-10462781 REVERSE LENGTH=729,mitochondrion,#29.1.14,protein.aa activation.glycine-tRNA ligase,AA Activation,-0.03,0.01,0.03,0,3,0.03,3,56
AT1G14610.1,"  Symbols: TWN2, VALRS   valyl-tRNA synthetase / valine--tRNA ligase (VALRS)   chr1:5008502-5014486 REVERSE LENGTH=1108",mitochondrion,#29.1.9,protein.aa activation.valine-tRNA ligase,AA Activation,0,0.01,0.06,0.02,3,0.03,8,102
AT3G13490.1,"  Symbols: OVA5, ATKRS-2   Lysyl-tRNA synthetase, class II   chr3:4395984-4399302 REVERSE LENGTH=602","mitochondrion,plastid",#29.1.6,protein.aa activation.lysine-tRNA ligase,AA Activation,0.02,0.05,0.02,0.03,3,0.01,17,123
AT3G46100.1,"  Symbols: ATHRS1, HRS1   Histidyl-tRNA synthetase 1   chr3:16928444-16930984 REVERSE LENGTH=486",mitochondrion,#29.1.21,protein.aa activation.histidine-tRNA ligase,AA Activation,0.05,0.05,0.04,0.04,3,0.01,3,173
AT2G30320.1,  Symbols:    Pseudouridine synthase family protein   chr2:12925728-12927896 REVERSE LENGTH=510,mitochondrion,#29.1.30,protein.aa activation.pseudouridylate synthase,AA Activation,0.05,0.04,0.05,0.04,3,0.01,3,181
AT5G56090.1,  Symbols: COX15   cytochrome c oxidase 15   chr5:22714634-22716605 FORWARD LENGTH=457,mitochondrion,#29.1,protein.aa activation,AA Activation,0.06,0.05,0.04,0.05,3,0.02,9,189
AT5G64050.1,"  Symbols: ATERS, OVA3, ERS   glutamate tRNA synthetase   chr5:25630196-25633099 REVERSE LENGTH=570","mitochondrion,plastid",#29.1.17,protein.aa activation.glutamate-tRNA ligase,AA Activation,0.16,0.21,0.26,0.2,3,0.05,5,422
AT4G08870.1,  Symbols:    Arginase/deacetylase superfamily protein   chr4:5646654-5648693 REVERSE LENGTH=344,mitochondrion,#13.2.2.3,amino acid metabolism.degradation.glutamate family.arginine,AA Degradation,0.02,0.06,0.01,0.03,3,0.02,8,128
AT4G08900.1,  Symbols:    arginase   chr4:5703499-5705180 FORWARD LENGTH=342,mitochondrion,#13.2.2.3,amino acid metabolism.degradation.glutamate family.arginine,AA Degradation,0.04,0.03,0.04,0.03,3,0.01,15,148
AT4G34030.1,  Symbols: MCCB   3-methylcrotonyl-CoA carboxylase   chr4:16301298-16303949 FORWARD LENGTH=587,mitochondrion,#13.2.4.4,amino acid metabolism.degradation.branched chain group.leucine,AA Degradation,0.07,0.04,0.06,0.06,3,0.03,27,223
AT5G62530.1,"  Symbols: ALDH12A1, ATP5CDH, P5CDH   aldehyde dehydrogenase 12A1   chr5:25099768-25103159 REVERSE LENGTH=556",mitochondrion,#13.2.2.2,amino acid metabolism.degradation.glutamate family.proline,AA Degradation,0.06,0.06,0.06,0.06,3,0.01,67,225
"AT3G06850.1, AT3G06850.2","  Symbols: BCE2, LTA1, DIN3   2-oxoacid dehydrogenases acyltransferase family protein   chr3:2158212-2160465 REVERSE LENGTH=483,  Symbols: BCE2, LTA1, DIN3   2-oxoacid dehydrogenases acyltransferase family protein   chr3:2158212-2160465 REVERSE LENGTH=483",mitochondrion,#13.2.4.1,amino acid metabolism.degradation.branched chain group.shared,AA Degradation,0.07,0.05,0.06,0.06,3,0.02,26,241
AT4G20930.1,  Symbols:    6-phosphogluconate dehydrogenase family protein   chr4:11198627-11201036 REVERSE LENGTH=347,mitochondrion,#13.2.4.3,amino acid metabolism.degradation.branched chain group.valine,AA Degradation,0.08,0.07,0.08,0.07,3,0.01,8,276
AT3G45300.1,"  Symbols: IVD, ATIVD, IVDH   isovaleryl-CoA-dehydrogenase   chr3:16621659-16624848 REVERSE LENGTH=409",mitochondrion,#13.2.4.4,amino acid metabolism.degradation.branched chain group.leucine,AA Degradation,0.09,0.07,0.07,0.07,3,0.02,13,277
"AT2G14170.1, AT2G14170.2","  Symbols: ALDH6B2   aldehyde dehydrogenase  6B2   chr2:5977727-5981899 REVERSE LENGTH=607,  Symbols: ALDH6B2   aldehyde dehydrogenase  6B2   chr2:5977727-5981489 REVERSE LENGTH=498",mitochondrion,#13.2.4.3,amino acid metabolism.degradation.branched chain group.valine,AA Degradation,0.07,0.11,0.1,0.09,3,0.01,3,314
AT4G15940.1,  Symbols:    Fumarylacetoacetate (FAA) hydrolase family   chr4:9038361-9040163 FORWARD LENGTH=222,mitochondrion,#13.2.6.2,amino acid metabolism.degradation.aromatic aa.tyrosine,AA Degradation,0.08,0.09,0.11,0.09,3,0.02,5,320
AT1G03090.2,"  Symbols: MCCA   methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)   chr1:739715-743819 FORWARD LENGTH=734",mitochondrion,#13.2.4.4,amino acid metabolism.degradation.branched chain group.leucine,AA Degradation,0.16,0.15,0.15,0.15,3,0.01,3,399
