"","AGI","description","location_consensus","left","right","direction","encoded","clp1_RNA_log2fc","clp1_RNA_padj","clp1_Protein_membrane_log2fc","clp1_Protein_membrane_padj","clp1_Protein_soluble_log2fc","clp1_Protein_soluble_padj","clp2_RNA_log2fc","clp2_RNA_padj","clp2_Protein_membrane_log2fc","clp2_Protein_membrane_padj","clp2_Protein_soluble_log2fc","clp2_Protein_soluble_padj"
"1","AT1G01090.1","pyruvate dehydrogenase E1 alpha;pyruvate dehydrogenase E1 alpha subunit","plastid",47485,49286,"reverse","Nucleus",0.00475850538558181,0.989686861006954,-0.51,0.54,-0.692,0.314,0.206652238324699,0.192556397826838,-0.82,0.668,-0.346,0.751
"2","AT1G01820.1","peroxin 11c;member of the peroxin11 (PEX11) gene family, integral to peroxisome membrane, controls peroxisome proliferation.","peroxisome",296001,298120,"reverse","Nucleus",-0.00643067499684665,0.992336525896516,-0.486,0.66,0.418,0.708,-0.0513356200899818,0.80201887165466,-0.837,0.76,0.798,0.624
"3","AT1G02410.1","cytochrome c oxidase assembly protein CtaG / Cox11 family;","mitochondrion",490925,492926,"forward","Nucleus",0.00488759717912666,0.998939767660952,-0.0484,0.787,0.0605,0.816,0.0210054247687088,0.918001622895248,-0.218,0.841,-0.277,0.749
"4","AT1G03090.1","methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA);MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.","mitochondrion",739679,744184,"forward","Nucleus",-0.0474691982330438,0.826516659868754,-0.259,0.601,-0.48,0.205,-0.287168270470701,0.0446629710052355,-0.413,0.726,-0.985,0.032
"5","AT1G03860.1","prohibitin 2;prohibitin 2","cytosol,mitochondrion",979308,981762,"reverse","Nucleus",0.0350968393881112,0.874703280272726,-1.69,0.0709,0.0294,0.834,0.253569874395856,0.0217574337396196,-2.43,0.233,0.111,0.839
"6","AT1G04410.1","Lactate/malate dehydrogenase family protein;","vacuole",1189078,1191412,"reverse","Nucleus",0.00938937839782986,0.998022334505606,-0.196,0.723,1.1,0.02,0.199664782626054,0.0486243223872761,-0.813,0.612,0.821,0.327
"7","AT1G04640.1","lipoyltransferase 2;Lipoyltransferase, located in mitochondria but not found in chloroplasts","mitochondrion",1292080,1293357,"forward","Nucleus",0.0125351233585209,0.984115068714682,-0.362,0.623,0.0788,0.813,0.216248630084192,0.177682698701958,-0.634,0.72,-0.0765,0.838
"8","AT1G04710.1","peroxisomal 3-ketoacyl-CoA thiolase  4;EC2.3.1.16 thiolase.","peroxisome",1321904,1324782,"forward","Nucleus",0.0083970841287649,0.956156101149014,-0.432,0.333,-0.0461,0.815,0.219669054718234,0.196349928882727,-0.454,0.689,-0.0233,0.848
"9","AT1G06290.1","acyl-CoA oxidase 3;Encodes an acyl-CoA oxidase with specificity for medium chain fatty acids.","peroxisome",1922352,1926278,"forward","Nucleus",0.0014048005537676,0.999711578275955,-0.218,0.47,-0.124,0.681,0.606475399699495,9.76898795872963e-07,0.131,0.825,0.0439,0.829
"10","AT1G06460.1","alpha-crystallin domain 32.1;ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins.","peroxisome",1967087,1969561,"reverse","Nucleus",0.00880068037170021,0.990451539929643,-0.151,0.756,-0.473,0.558,0.290120311539335,0.122842648237846,-0.982,0.595,-1.53,0.0517
"11","AT1G06530.1","Tropomyosin-related;","mitochondrion",2001594,2002596,"forward","Nucleus",-0.011540993151761,0.998022334505606,-1.07,0.138,-0.24,0.747,-0.0640634086360883,0.551434095394341,-0.848,0.667,-0.0894,0.837
"12","AT1G06680.1","photosystem II subunit P-1;Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.","plastid",2047825,2049418,"forward","Nucleus",0.0148758552095016,0.995758810089838,-0.804,0.608,-0.133,0.819,0.301317569340006,0.132809664721422,-1.95,0.578,-0.619,0.76
"13","AT1G06950.1","translocon at the inner envelope membrane of chloroplasts 110;Encodes a protein thought to be a part of the translocon at the chloroplast inner envelope. Involved in protein import into the chloroplast and chloroplast biogenesis.","plastid",2130142,2135665,"reverse","Nucleus",0.0258696202746249,0.963683703552494,0.172,0.754,-0.294,0.728,0.378997784126016,0.000312234035578892,-0.424,0.818,-0.813,0.488
"14","AT1G07210.1","Ribosomal protein S18;","mitochondrion",2215223,2216982,"forward","Nucleus",-0.000191622705384425,0.998022334505606,1.08,0.0343,0.605,0.23,0.179759704512741,0.0273312388260812,0.401,0.786,0.594,0.468
"15","AT1G07830.1","ribosomal protein L29 family protein;","mitochondrion",2422241,2423655,"forward","Nucleus",0.0211173363620765,0.978892720384414,0.0401,0.79,0.328,0.61,0.179766962596964,0.0816754824657215,-0.866,0.538,-0.181,0.796
"16","AT1G08480.1","Encodes subunit 6 of mitochondrial complex II (succinate dehydrogenase complex) and participates in the respiratory chain. It contributes to anchoring succinate dehydrogenase to the inner mitochondrial membrane. The mRNA is cell-to-cell mobile.","mitochondrion",2684234,2685621,"forward","Nucleus",0.0510527051806419,0.858685553653487,-0.0276,0.791,-0.0652,0.803,0.123051028613232,0.23444896520022,-0.139,0.847,0.135,0.795
"17","AT1G08830.1","copper/zinc superoxide dismutase 1;Encodes a cytosolic copper/zinc superoxide dismutase CSD1 that can detoxify superoxide radicals.  Its expression is affected by miR398-directed mRNA cleavage. Regulated by biotic and abiotic stress.","cytosol",2827061,2829315,"forward","Nucleus",-0.00758241864589312,0.989686861006954,-0.0305,0.793,-0.0657,0.812,0.0439684030533712,0.867528039892443,-0.396,0.779,0.129,0.814
"18","AT1G09300.1","Metallopeptidase M24 family protein;","mitochondrion,nucleus",3003495,3008213,"forward","Nucleus",0.0260310818178798,0.960725523951276,-0.316,0.621,0.24,0.701,0.330215890968115,0.00124047768461606,0.127,0.86,0.509,0.56
"19","AT1G09620.1","ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases;","cytosol",3112778,3116699,"reverse","Nucleus",0.0564799462859569,0.844777682289795,-0.515,0.545,0.0817,0.815,0.110701973657239,0.150364524954677,-0.82,0.677,-0.217,0.802
"20","AT1G09794.1","Cox19 family protein (CHCH motif);","cytosol",3172108,3173463,"forward","Nucleus",-0.00779250979879562,0.986673363689397,-0.244,0.663,-0.423,0.435,-0.0530568426271118,0.837477648704935,-0.476,0.736,-0.55,0.461
"21","AT1G10270.1","glutamine-rich protein 23;","mitochondrion",3363504,3366488,"forward","Nucleus",0.0158531527194737,0.98388428624281,1.39,0.00621,2.48,1.67e-11,0.0805278993909676,0.626749789272726,1.41,0.255,2.4,2.59e-06
