name,ID,clp1p__vs_wtp__p.val,clp1s__vs_wts__p.val,clp2p__vs_wtp__p.val,clp2s__vs_wts__p.val,clp1p__vs_wtp__p.adj,clp1s__vs_wts__p.adj,clp2p__vs_wtp__p.adj,clp2s__vs_wts__p.adj,clp1p__vs_wtp__significant,clp1s__vs_wts__significant,clp2p__vs_wtp__significant,clp2s__vs_wts__significant,significant,clp1p__vs_wtp__ratio,clp1s__vs_wts__ratio,clp2p__vs_wtp__ratio,clp2s__vs_wts__ratio,clp1p__centered,clp1s__centered,clp2p__centered,clp2s__centered,wtp__centered,wts__centered
 adenylyl cyclase .1,AT4G15640.2,8.686024723445248e-5,8.182661363185557e-4,7.343400889199627e-4,0.07517321996712192,2.05e-4,0.00126,0.00432,0.727,TRUE,TRUE,TRUE,FALSE,TRUE,2.55,2.04,2.23,0.969,0.686,1.34,0.37,0.264,-1.86,-0.704
 ATP-dependent RNA helicase ,AT4G30010.1,0.04814253617655895,0.9044033184418707,0.0011189161031396094,0.21911310737525916,0.214,0.854,0.00711,0.848,FALSE,FALSE,TRUE,FALSE,TRUE,-0.471,-0.0272,-0.923,-0.284,-2.45,2.27,-2.9,2.02,-1.97,2.3
 isopentenyl-diphosphate delta-isomerase ,AT5G55610.1,0.009858742791260533,0.5789978584669531,0.004756123783233439,0.32042907444713115,0.0682,0.784,0.0279,0.878,FALSE,FALSE,TRUE,FALSE,TRUE,-0.963,-0.19,-1.16,-0.343,-2.74,2.23,-2.94,2.07,-1.78,2.42
 MICOS complex subunit Mic10-like protein (DUF543) ,AT1G22520.1,0.21919689196827263,0.8687641580186087,0.008969205576320492,0.9732890473215472,0.504,0.849,0.045,0.94,FALSE,FALSE,TRUE,FALSE,TRUE,-0.499,-0.0658,-1.23,0.0133,-1.72,1.55,-2.46,1.63,-1.22,1.61
 NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor-like protein (DUF498/DUF598) ,AT2G44525.1,0.004539120912391372,0.5861625698212739,0.004632904007140063,0.15227615158022306,0.0391,0.786,0.0273,0.813,TRUE,FALSE,TRUE,FALSE,TRUE,0.977,-0.168,1.05,-0.453,1.12,-0.677,1.19,-0.961,0.138,-0.508
 NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor-like protein (DUF498/DUF598) .1,AT2G44525.1,0.009130273154176975,0.3377566638331797,0.009052922914330972,0.15670938386776875,0.0649,0.667,0.0452,0.816,FALSE,FALSE,TRUE,FALSE,TRUE,0.923,-0.313,0.998,-0.469,1.18,-0.841,1.25,-0.997,0.252,-0.528
 protein translocase subunit ,AT3G51010.1,0.8642882319013501,0.0050988247881006464,0.8094085525251736,0.33976169496840813,0.78,0.0168,0.627,0.882,FALSE,TRUE,FALSE,FALSE,TRUE,-0.12,2.2,-0.184,0.68,-0.799,1.95,-0.862,0.43,-0.679,-0.251
24 kDa,AT4G02580.1,2.1714625156284397e-8,0.0036581726994739413,6.472695621241426e-8,0.002833051250047268,4.73e-14,0.0104,5.1e-12,0.199,TRUE,TRUE,TRUE,FALSE,TRUE,1.91,0.694,1.92,0.717,0.158,0.711,0.171,0.735,-1.75,0.0173
2Fe-2S ferredoxin-like,AT3G07480.1,0.10185796874509077,0.5050233688859518,0.008405436827547146,0.5394547204930068,0.335,0.758,0.0429,0.911,FALSE,FALSE,TRUE,FALSE,TRUE,-0.885,-0.35,-1.63,-0.322,-2.52,2.08,-3.27,2.11,-1.64,2.43
3-isopropylmalate dehydratase small subunit 3,AT2G43090.1,0.4783038130901973,0.0021799046133699606,0.019398144103193512,0.3708729566240109,0.676,0.00552,0.0806,0.888,FALSE,TRUE,FALSE,FALSE,TRUE,-0.151,-0.736,-0.574,-0.191,1.12,-1.4,0.696,-0.852,1.27,-0.662
39 kDa,AT2G20360.1,9.127619373022956e-4,0.5594631511434943,0.45534382205245183,0.4378465205551091,0.00645,0.778,0.501,0.899,TRUE,FALSE,FALSE,FALSE,TRUE,-0.988,-0.15,-0.208,-0.2,-3.76,2.89,-2.98,2.84,-2.77,3.04
51 kDa,AT5G08530.1,5.126790306477932e-6,0.295414624423658,5.733634250773544e-6,0.3264462485190375,9.1e-7,0.633,1.86e-6,0.88,TRUE,FALSE,TRUE,FALSE,TRUE,3.64,0.626,3.89,0.587,0.375,1.03,0.633,0.985,-3.26,0.399
"6-phosphogluconate dehydrogenase, decarboxylating 1, chloroplastic",AT1G64190.1,0.7408040844316846,0.6002795676897976,0.008696423847503621,0.5073443093317669,0.755,0.791,0.044,0.908,FALSE,FALSE,TRUE,FALSE,TRUE,-0.171,-0.271,-1.6,-0.343,1.79,-1.4,0.355,-1.48,1.96,-1.13
75 kDa,AT5G37510.1,2.9516257681035444e-6,0.42244285907613677,3.962871800363629e-6,0.4311214702225702,2.47e-7,0.72,8.54e-7,0.898,TRUE,FALSE,TRUE,FALSE,TRUE,2.8,0.353,2.96,0.346,0.21,0.82,0.369,0.813,-2.59,0.468
A3.2,AT5G60390.3,0.0030593872441643044,0.5017257617289075,0.013163308146860885,0.44097114051329556,0.0272,0.757,0.0585,0.9,TRUE,FALSE,FALSE,FALSE,TRUE,-1.62,-0.327,-1.41,-0.376,-2.76,1.85,-2.55,1.8,-1.14,2.17
AAC1,AT3G08580.2,0.009503260091532153,0.6663675345373323,0.007463556622546817,0.49203466529256246,0.0666,0.809,0.0393,0.906,FALSE,FALSE,TRUE,FALSE,TRUE,-1.59,-0.242,-1.79,-0.387,-3.43,2.63,-3.62,2.48,-1.84,2.87
ACO3,AT4G26970.1,0.0034206419837469067,0.039357145956746664,0.00810553897022076,0.039817768450338326,0.0303,0.141,0.0418,0.627,TRUE,FALSE,TRUE,FALSE,TRUE,-0.39,-0.258,-0.373,-0.258,0.361,-0.551,0.378,-0.551,0.751,-0.293
ADK,AT2G37250.1,3.0439895124900103e-6,3.449339723468786e-7,8.426769806998242e-6,1.2945954181477047e-7,2.62e-7,7.66e-13,4.13e-6,5.46e-7,TRUE,TRUE,TRUE,TRUE,TRUE,2.38,2.78,2.38,2.97,1.15,0.607,1.15,0.796,-1.24,-2.17
ADK1.1,AT5G63400.1,7.141513530759594e-5,0.8285750957147098,0.0010742519287018492,0.8996384690765195,1.51e-4,0.842,0.0068,0.936,TRUE,FALSE,TRUE,FALSE,TRUE,-0.721,-0.0315,-0.595,-0.0183,-1.22,0.833,-1.1,0.846,-0.5,0.864
ALDH2B4,AT3G48000.1,0.417222802278974,0.010001633509444437,0.6868872255079059,0.006817667715528904,0.648,0.0381,0.592,0.294,FALSE,TRUE,FALSE,FALSE,TRUE,-0.102,-0.353,-0.0546,-0.375,0.704,-0.802,0.752,-0.823,0.806,-0.449
Aldolase superfamily protein.1,AT3G52930.1,0.041348820996597244,0.005002609330471406,0.17754831153199563,0.05670801081607942,0.197,0.0163,0.313,0.685,FALSE,TRUE,FALSE,FALSE,TRUE,-1.01,-1.47,-0.702,-0.941,-0.813,-0.338,-0.5,0.192,0.202,1.13
AMPD,AT2G38280.2,0.13690542528800753,0.9591012110612722,0.004451384476931787,0.7398037891637146,0.395,0.861,0.0264,0.927,FALSE,FALSE,TRUE,FALSE,TRUE,-0.291,0.00974,-0.652,0.0632,-0.908,0.811,-1.27,0.864,-0.617,0.801
APX3,AT4G35000.1,0.1675908383601233,0.8601445932993412,0.003046868164327658,0.6429939608372178,0.442,0.847,0.0191,0.921,FALSE,FALSE,TRUE,FALSE,TRUE,-0.901,0.112,-2.3,0.296,-3.54,3.27,-4.93,3.45,-2.64,3.16
ARGAH2,AT4G08870.2,0.027080467046203396,0.3721955527399705,0.0027379443839055,0.8561012587366856,0.151,0.691,0.0174,0.934,FALSE,FALSE,TRUE,FALSE,TRUE,0.917,0.35,1.42,-0.0705,0.359,0.108,0.864,-0.313,-0.559,-0.243
ARM repeat superfamily protein.1,AT3G62530.1,0.01155065412503198,0.001315903307755066,0.04615621701431507,5.329011165575408e-4,0.0767,0.00259,0.149,0.0726,FALSE,TRUE,FALSE,FALSE,TRUE,0.376,0.505,0.31,0.558,0.72,-0.367,0.654,-0.314,0.344,-0.873
AT3G18240/MIE15_3,AT3G18240.2,0.001780862659245857,0.05711005271633082,0.032733583069899916,0.14899029645923229,0.015,0.196,0.12,0.811,TRUE,FALSE,FALSE,FALSE,TRUE,1.33,0.743,0.913,0.552,0.145,0.726,-0.273,0.535,-1.19,-0.0168
ATOZI1,AT4G00860.1,0.05523175608733532,0.49329526643615507,1.1026430097233718e-5,0.21722510222082825,0.234,0.753,6.6e-6,0.847,FALSE,FALSE,TRUE,FALSE,TRUE,-0.397,-0.136,-1.23,-0.248,-2.93,2.76,-3.77,2.65,-2.54,2.9
ATP synthase alpha/beta family protein,AT5G08690.1,3.1265960655885386e-7,0.030464710634511456,2.6804168231829547e-7,0.06527563386259072,5.83e-10,0.114,4.05e-10,0.707,TRUE,FALSE,TRUE,FALSE,TRUE,1.39,0.426,1.52,0.357,-0.097,0.686,0.0304,0.617,-1.49,0.26
"ATP synthase subunit beta-2, mitochondrial",AT5G08690.1,3.1265960655885386e-7,0.030464710634511456,2.6804168231829547e-7,0.06527563386259072,5.83e-10,0.114,4.05e-10,0.707,TRUE,FALSE,TRUE,FALSE,TRUE,1.39,0.426,1.52,0.357,-0.097,0.686,0.0304,0.617,-1.49,0.26
"ATP synthase subunit beta-3, mitochondrial",AT5G08690.1,3.1265960655885386e-7,0.030464710634511456,2.6804168231829547e-7,0.06527563386259072,5.83e-10,0.114,4.05e-10,0.707,TRUE,FALSE,TRUE,FALSE,TRUE,1.39,0.426,1.52,0.357,-0.097,0.686,0.0304,0.617,-1.49,0.26
ATP12 protein-related,AT5G40660.1,0.0011487072262406986,0.014566896369654013,0.0014023916618352223,0.0451983699209612,0.00877,0.0579,0.00902,0.649,TRUE,FALSE,TRUE,FALSE,TRUE,1.34,-0.94,1.41,-0.75,1.16,-1.01,1.23,-0.824,-0.175,-0.074
ATPA,ATCG00120.1,0.06956713536955468,0.617041881130931,0.0033326665193957232,0.020297158336001986,0.269,0.795,0.0205,0.502,FALSE,FALSE,TRUE,FALSE,TRUE,-0.835,-0.221,-1.57,-1.1,-1.13,1.16,-1.86,0.279,-0.291,1.38
ATPC,AT2G33040.1,0.010518833119485881,0.28059309397009,0.006657962381373514,0.7514380108351524,0.071,0.619,0.0359,0.928,FALSE,FALSE,TRUE,FALSE,TRUE,1.63,0.639,1.89,0.185,-1.47,2.19,-1.21,1.74,-3.1,1.55
B14,AT3G12260.1,4.553700352997247e-9,0.3022895338229709,6.98913317615601e-9,0.38326694487690627,4.73e-14,0.639,5.93e-14,0.891,TRUE,FALSE,TRUE,FALSE,TRUE,4.01,0.424,4.21,0.357,0.229,1.24,0.438,1.17,-3.78,0.813
B14.5a,AT5G08060.1,0.022756543892933027,0.6999960997452039,1.8744591973620297e-4,0.40083951156534936,0.134,0.817,7.92e-4,0.894,FALSE,FALSE,TRUE,FALSE,TRUE,-1.03,-0.163,-2.08,-0.359,-2.52,2.24,-3.57,2.05,-1.49,2.4
