name,ID,clp1p__vs_wtp__p.val,clp1s__vs_wts__p.val,clp2p__vs_wtp__p.val,clp2s__vs_wts__p.val,clp1p__vs_wtp__p.adj,clp1s__vs_wts__p.adj,clp2p__vs_wtp__p.adj,clp2s__vs_wts__p.adj,clp1p__vs_wtp__significant,clp1s__vs_wts__significant,clp2p__vs_wtp__significant,clp2s__vs_wts__significant,significant,clp1p__vs_wtp__ratio,clp1s__vs_wts__ratio,clp2p__vs_wtp__ratio,clp2s__vs_wts__ratio,clp1p__centered,clp1s__centered,clp2p__centered,clp2s__centered,wtp__centered,wts__centered
 51 kDa subunit of complex I ,AT5G08530.1,4.993040299289174e-6,0.30111092879628953,5.588744439803995e-6,0.3291047996084523,2.58e-5,0.621,0.00453,0.778,TRUE,FALSE,TRUE,FALSE,TRUE,3.65,0.62,3.91,0.584,0.377,1.03,0.636,0.99,-3.28,0.406
 adenosine kinase ,AT2G37250.1,1.8691327892936556e-7,4.3811679652763077e-10,5.754462928574744e-7,1.6506003700771712e-10,1.8e-8,3.37e-14,3.33e-4,4.68e-14,TRUE,TRUE,TRUE,TRUE,TRUE,2.24,3.28,2.24,3.47,1.21,0.667,1.21,0.861,-1.03,-2.61
 adenylate kinase 1 ,AT5G63400.1,7.036138696535109e-5,0.7875090818809773,0.0011233480057619382,0.8830306817754392,0.00156,0.828,0.208,0.887,TRUE,FALSE,FALSE,FALSE,TRUE,-0.704,-0.0382,-0.577,-0.0208,-1.22,0.833,-1.09,0.851,-0.516,0.871
 Adenylate kinase family protein ,AT5G50370.1,0.001583044738497314,0.8306195024045588,0.42572314446589465,0.7317208456279412,0.0421,0.837,0.848,0.871,TRUE,FALSE,FALSE,FALSE,TRUE,-1.53,-0.09,-0.365,0.144,-2.81,1.67,-1.65,1.9,-1.28,1.76
 adenylyl cyclase .1,AT4G15640.2,6.80258243724523e-4,0.002267094478304407,0.004325522938568016,0.1761853549762183,0.0194,0.00386,0.345,0.676,TRUE,TRUE,FALSE,FALSE,TRUE,2.31,2.01,2,0.803,0.665,1.31,0.35,0.105,-1.65,-0.698
 aldehyde dehydrogenase 12A1 ,AT5G62530.1,0.2653761676779301,0.008625104388065742,0.8512702144566812,0.01040812019968962,0.685,0.0235,0.893,0.152,FALSE,TRUE,FALSE,FALSE,TRUE,-0.135,-0.343,-0.0241,-0.333,0.334,-0.496,0.445,-0.486,0.469,-0.153
 aldehyde dehydrogenase 2B4 ,AT3G48000.1,0.4791690141911574,0.006726609839078663,0.777199681020187,0.00486170398577644,0.774,0.0171,0.888,0.0809,FALSE,TRUE,FALSE,FALSE,TRUE,-0.0855,-0.36,-0.0367,-0.377,0.705,-0.801,0.754,-0.819,0.791,-0.442
 Aldolase superfamily protein .3,AT2G26800.5,1.4566335658800614e-4,0.025319367608835557,0.6022041980731652,0.04460655501781658,0.00349,0.0815,0.872,0.385,TRUE,FALSE,FALSE,FALSE,TRUE,1.49,-0.768,0.181,-0.68,0.681,-0.0834,-0.632,0.00413,-0.813,0.684
 Aldolase superfamily protein .4,AT3G52930.1,0.0017584868036294005,0.010872004940760302,0.004474609169570625,0.03850059567394362,0.0457,0.0314,0.349,0.356,TRUE,TRUE,FALSE,FALSE,TRUE,-1.44,-1.11,-1.37,-0.878,-1.08,0.048,-1.02,0.284,0.353,1.16
 ARM repeat superfamily protein .1,AT3G62530.1,0.006710122774294178,0.0010423572809336607,0.029728872979568607,3.780770567511731e-4,0.123,0.00116,0.563,0.00792,FALSE,TRUE,FALSE,TRUE,TRUE,0.393,0.499,0.328,0.556,0.721,-0.367,0.656,-0.31,0.328,-0.865
