Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT2G05914	AT2G05914.1	Potential natural antisense gene, locus overlaps with AT2G05915	antisense_long_noncoding_rna			
AT2G07706	AT2G07706.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G40133	AT1G40133.1	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G06603.1);(source:TAIR10)	transposable_element_gene			
AT1G40130	AT1G40130.1	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)	transposable_element_gene			
AT2G07811	AT2G07811.1	pseudogene of mitochondrial protein	pseudogene			
AT2G07726	AT2G07726.1	pseudogene of mitochondrial ribosomal protein S14;(source:Araport11)	pseudogene			
AT4G04223	AT4G04223.1	other_RNA;(source:Araport11)	other_rna			
AT2G07667	AT2G07667.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G17845	AT2G17845.1	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)	protein_coding			
AT2G07708	AT2G07708.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G40137	AT1G40137.1	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 6.0e-165 P-value blast match to GB:AAD11615 prpol (gypsy_Ty3-element) (Zea mays);(source:TAIR10)	transposable_element_gene			
AT1G40113	AT1G40113.1	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.1e-155 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)	transposable_element_gene			
AT2G07683	AT2G07683.1	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.2e-110 P-value blast match to GB:AAA57005 Hopscotch polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)	transposable_element_gene			
AT2G07715	AT2G07715.1	Nucleic acid-binding, OB-fold-like protein;(source:Araport11)	protein_coding			
AT2G07671	AT2G07671.1	ATP synthase subunit C family protein;(source:Araport11)	protein_coding			
AT2G07725	AT2G07725.1	Ribosomal L5P family protein;(source:Araport11)	protein_coding			
AT1G40136	AT1G40136.1	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.7e-116 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)	transposable_element_gene			
AT1G40106	AT1G40106.1	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)	transposable_element_gene			
AT2G07723	AT2G07723.1	pseudogene of cytochrome C biogenesis 452;(source:Araport11)	pseudogene			
AT2G05915	AT2G05915.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G67105	AT1G67105.1	other_RNA;(source:Araport11)	other_rna			
AT5G35935	AT5G35935.1	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.0e-232 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)	transposable_element_gene			
AT2G07709	AT2G07709.1	pseudogene of NADH dehydrogenase subunit 7;(source:Araport11)	pseudogene			
AT2G07779	AT2G07779.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07774	AT2G07774.1	hypothetical protein;(source:Araport11)	protein_coding			
