table_nr,ACC,desc,group
1,AT5G23140,CLPP2,Knock Out
2,AT1G51980,mitochondrial-processing peptidase subunit alpha,Chaperone / Protease
3,AT3G02090,mitochondrial-processing peptidase subunit beta,Chaperone / Protease
4,AT3G16480,mitochondrial processing peptidase alpha subunit,Chaperone / Protease
5,AT3G19170,presequence protease 1 (PREP1),Chaperone / Protease
6,AT4G37910,mitochondrial heat shock protein 70-1,Chaperone / Protease
7,AT5G48030,molecular chaperone DnaJ,Chaperone / Protease
8,AT5G51440,HSP20-like chaperones superfamily protein,Chaperone / Protease
9,AT5G53350,CLP protease regulatory subunit X,Chaperone / Protease
10,AT5G55200,Co-chaperone GrpE family protein,Chaperone / Protease
11,AT1G15120,Ubiquinol-cytochrome C reductase hinge protein,Energy Metabolism
12,AT1G22450,CYTOCHROME C OXIDASE 6B (COX6B),Energy Metabolism
13,AT2G26080,glycine decarboxylase P-protein 2,Energy Metabolism
14,AT2G33040,gamma subunit of Mt ATP synthase,Energy Metabolism
15,AT2G35370,glycine decarboxylase complex H,Energy Metabolism
16,AT2G44525,Complex I NDUAF3,Energy Metabolism
17,AT3G08580,ADP/ATP CARRIER 1 (AAC1),Energy Metabolism
18,AT3G12260,Complex I Subunit B14 ,Energy Metabolism
19,AT3G17240,lipoamide dehydrogenase 2,Energy Metabolism
20,AT3G27240,Complex III c1,Energy Metabolism
21,AT4G02580,Complex I 24 kDa subunit,Energy Metabolism
22,AT4G29480,Mitochondrial ATP synthase subunit G protein,Energy Metabolism
23,AT5G08530,Complex I 51 kDa subunit,Energy Metabolism
24,AT5G08690,ATP synthase alpha/beta family protein,Energy Metabolism
25,AT5G37510,Complex I 75 kDa subunit,Energy Metabolism
26,AT5G40660,ATP synthase mitochondrial F1 complex assembly factor 2,Energy Metabolism
27,AT5G47890,Complex I B8 subunit,Energy Metabolism
28,AT1G10270,pentatricopeptide (PPR) repeat-containing protein,Mitochondrial Protein Synthesis
29,AT1G19520,pentatricopeptide (PPR) repeat-containing protein,Mitochondrial Protein Synthesis
30,AT1G26460,Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11),Mitochondrial Protein Synthesis
31,AT1G31817,Ribosomal L18p/L5e family protein,Mitochondrial Protein Synthesis
32,AT1G34360,translation initiation factor 3 (IF-3) family protein,Mitochondrial Protein Synthesis
33,AT1G61870,pentatricopeptide repeat 336,Mitochondrial Protein Synthesis
34,AT1G64880,small subunit ribosomal protein S5,Mitochondrial Protein Synthesis
35,AT1G70190,large subunit ribosomal protein L7/L12,Mitochondrial Protein Synthesis
36,AT1G80270,pentatricopeptide repeat 596,Mitochondrial Protein Synthesis
37,AT2G16710,Iron-sulfur cluster biosynthesis family protein,Mitochondrial Protein Synthesis
38,AT2G31060,EMBRYO DEFECTIVE 2785 (EMB2785),Mitochondrial Protein Synthesis
39,AT2G31240,Tetratricopeptide repeat (TPR)-like superfamily protein,Mitochondrial Protein Synthesis
40,AT2G37250,adenosine kinase,Mitochondrial Protein Synthesis
41,AT2G45030,elongation factor G,Mitochondrial Protein Synthesis
42,AT3G02650,Tetratricopeptide repeat (TPR)-like superfamily protein,Mitochondrial Protein Synthesis
43,AT3G15000,RNA-EDITING FACTOR INTERACTING PROTEIN 1,Mitochondrial Protein Synthesis
44,AT3G22310,putative mitochondrial RNA helicase 1,Mitochondrial Protein Synthesis
45,AT3G22330,putative mitochondrial RNA helicase 2,Mitochondrial Protein Synthesis
46,AT3G49240,Pentatricopeptide repeat (PPR) superfamily protein,Mitochondrial Protein Synthesis
47,AT4G09730,RNA helicase 39,Mitochondrial Protein Synthesis
48,AT4G11010,nucleoside diphosphate kinase 3,Mitochondrial Protein Synthesis
49,AT4G11120,translation elongation factor Ts (EF-Ts),Mitochondrial Protein Synthesis
50,AT4G30930,Ribosomal protein L21,Mitochondrial Protein Synthesis
51,AT4G35850,Pentatricopeptide repeat (PPR) superfamily protein,Mitochondrial Protein Synthesis
52,AT5G02740,Ribosomal protein S24e family protein,Mitochondrial Protein Synthesis
