Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT5G64010	AT5G64010.1	U2 small nuclear ribonucleoprotein auxiliary factor-like protein;(source:Araport11)	protein_coding			
AT5G06830	AT5G06830.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G53400	AT3G53400.1	peptide upstream protein;(source:Araport11)	protein_coding			
AT3G14280	AT3G14280.1	LL-diaminopimelate aminotransferase;(source:Araport11)	protein_coding			
AT4G13690	AT4G13690.1	RNA-binding protein;(source:Araport11)	protein_coding			
AT5G52950	AT5G52950.1	LIM domain protein;(source:Araport11)	protein_coding			
AT2G10931	AT2G10931.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G62550	AT5G62550.1	microtubule-associated futsch-like protein;(source:Araport11)	protein_coding			
AT4G10470	AT4G10470.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G13898	AT3G13898.1	EPIDERMAL PATTERNING FACTOR-like protein;(source:Araport11)	protein_coding			
AT5G06930	AT5G06930.1	nucleolar-like protein;(source:Araport11)	protein_coding			
AT1G75770	AT1G75770.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G48640	AT3G48640.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G62422	AT1G62422.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G52830	AT3G52830.1	ankyrin repeat protein;(source:Araport11)	protein_coding			
AT3G27906	AT3G27906.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G11850	AT1G11850.2	transmembrane protein;(source:Araport11)	protein_coding			
AT2G16676	AT2G16676.1	Ta11-like non-LTR retrotransposon;(source:Araport11)	protein_coding			
AT3G15630	AT3G15630.1	plant/protein;(source:Araport11)	protein_coding			
AT1G24996	AT1G24996.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G14800	AT2G14800.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G51100	AT3G51100.1	altered inheritance of mitochondria protein;(source:Araport11)	protein_coding			
AT4G08406	AT4G08406.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G02500	AT3G02500.1	mental retardation GTPase activating protein;(source:Araport11)	protein_coding			
AT5G48240	AT5G48240.3	Rrp15p protein;(source:Araport11)	protein_coding			
AT3G42780	AT3G42780.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G21940	AT1G21940.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G61340	AT5G61340.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G67060	AT1G67060.1	peptidase M50B-like protein;(source:Araport11)	protein_coding			
AT5G63040	AT5G63040.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G22794	AT5G22794.2	hypothetical protein;(source:Araport11)	protein_coding			
AT3G61930	AT3G61930.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G66607	AT5G66607.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G01100	AT2G01100.1	FAM133-like protein;(source:Araport11)	protein_coding			
AT1G27850	AT1G27850.1	RUN/FYVE domain protein;(source:Araport11)	protein_coding			
AT1G66045	AT1G66045.1	reverse transcriptase-like protein;(source:Araport11)	protein_coding			
AT1G58007	AT1G58007.1	multidrug resistance protein;(source:Araport11)	protein_coding			
AT4G31875	AT4G31875.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G70780	AT1G70780.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G22150	AT5G22150.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G24879	AT5G24879.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G44600	AT2G44600.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G52180	AT5G52180.1	transmembrane protein 161AB protein;(source:Araport11)	protein_coding			
AT2G12875	AT2G12875.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G35430	AT4G35430.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G01730	AT1G01730.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G11785	AT1G11785.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G14430	AT3G14430.1	GRIP/coiled-coil protein;(source:Araport11)	protein_coding			
AT5G44306	AT5G44306.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT5G34830	AT5G34830.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G06890	AT3G06890.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G10439	AT3G10439.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G02440	AT5G02440.1	60S ribosomal protein L36;(source:Araport11)	protein_coding			
AT2G40800	AT2G40800.1	import inner membrane translocase subunit;(source:Araport11)	protein_coding			
AT5G16520	AT5G16520.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G45320	AT2G45320.1	polyphosphatidylinositol phosphatase;(source:Araport11)	protein_coding			
AT2G06906	AT2G06906.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G13500	AT3G13500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G25719	AT3G25719.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G57080	AT5G57080.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G73510	AT1G73510.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G17300	AT1G17300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G28725	AT2G28725.1	forkhead box protein G1;(source:Araport11)	protein_coding			
AT1G43005	AT1G43005.1	F-box/associated interaction domain protein;(source:Araport11)	protein_coding			
AT3G28750	AT3G28750.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G28460	AT4G28460.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G44940	AT1G44940.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G14615	AT4G14615.1	sporulation-specific protein;(source:Araport11)	protein_coding			
AT3G03828	AT3G03828.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G11220	AT5G11220.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G55365	AT1G55365.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G36745	AT1G36745.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G30230	AT2G30230.1	6,7-dimethyl-8-ribityllumazine synthase;(source:Araport11)	protein_coding			
AT4G18490	AT4G18490.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G55210	AT5G55210.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G02440	AT2G02440.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G04181	AT3G04181.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G78476	AT1G78476.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G27610	AT4G27610.1	intracellular protein transporter;(source:Araport11)	protein_coding			
AT3G28243	AT3G28243.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G67785	AT1G67785.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G07350	AT4G07350.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G28919	AT5G28919.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G20600	AT5G20600.1	ribosomal RNA processing-like protein;(source:Araport11)	protein_coding			
AT5G55893	AT5G55893.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G35075	AT2G35075.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G16950	AT1G16950.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G74929	AT1G74929.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G17540	AT2G17540.2	hypothetical protein;(source:Araport11)	protein_coding			
AT3G06070	AT3G06070.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G25545	AT3G25545.1	trigger factor;(source:Araport11)	protein_coding			
AT4G33780	AT4G33780.1	ATP phosphoribosyltransferase regulatory subunit;(source:Araport11)	protein_coding			
AT4G03566	AT4G03566.1	ribonuclease H;(source:Araport11)	protein_coding			
AT1G08005	AT1G08005.1	serine/threonine-protein phosphatase 6 regulatory subunit;(source:Araport11)	protein_coding			
AT2G43540	AT2G43540.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G52270	AT1G52270.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G09860	AT4G09860.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G03340	AT1G03340.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G09310	AT3G09310.1	membrane protein insertion efficiency factor;(source:Araport11)	protein_coding			
AT3G11405	AT3G11405.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G06500	AT1G06500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G12680	AT4G12680.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G28375	AT1G28375.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G67410	AT5G67410.1	transcriptional regulator of RNA polII, SAGA, subunit;(source:Araport11)	protein_coding			
AT5G48530	AT5G48530.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G42785	AT5G42785.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G19530	AT2G19530.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G24030	AT4G24030.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G03204	AT5G03204.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G43110	AT3G43110.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G45403	AT2G45403.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G06145	AT3G06145.1	RING zinc finger protein;(source:Araport11)	protein_coding			
AT4G06688	AT4G06688.1	myosin heavy chain-like protein;(source:Araport11)	protein_coding			
AT2G37750	AT2G37750.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G55566	AT3G55566.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G30760	AT2G30760.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G06790	AT5G06790.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT5G11070	AT5G11070.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G35090	AT5G35090.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G35210	AT1G35210.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G15096	AT4G15096.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G43420	AT3G43420.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G15581	AT5G15581.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G41120	AT2G41120.1	DUF309 domain protein;(source:Araport11)	protein_coding			
AT5G02720	AT5G02720.1	valine-tRNA ligase;(source:Araport11)	protein_coding			
AT5G24640	AT5G24640.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G61900	AT1G61900.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G07476	AT1G07476.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G12905	AT2G12905.1	hypothetical protein;(source:Araport11)	protein_coding			
