Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1p_1	Peptides clp1p_2	Peptides clp1p_3	Peptides clp1p_4	Peptides clp1s_1	Peptides clp1s_2	Peptides clp1s_3	Peptides clp1s_4	Peptides clp2p_1	Peptides clp2p_2	Peptides clp2p_3	Peptides clp2p_4	Peptides clp2s_1	Peptides clp2s_2	Peptides clp2s_3	Peptides clp2s_4	Peptides pool_p	Peptides pool_s	Peptides wtp_1	Peptides wtp_2	Peptides wtp_3	Peptides wtp_4	Peptides wts_1	Peptides wts_2	Peptides wts_3	Peptides wts_4	Razor + unique peptides blank	Razor + unique peptides clp1p_1	Razor + unique peptides clp1p_2	Razor + unique peptides clp1p_3	Razor + unique peptides clp1p_4	Razor + unique peptides clp1s_1	Razor + unique peptides clp1s_2	Razor + unique peptides clp1s_3	Razor + unique peptides clp1s_4	Razor + unique peptides clp2p_1	Razor + unique peptides clp2p_2	Razor + unique peptides clp2p_3	Razor + unique peptides clp2p_4	Razor + unique peptides clp2s_1	Razor + unique peptides clp2s_2	Razor + unique peptides clp2s_3	Razor + unique peptides clp2s_4	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wtp_1	Razor + unique peptides wtp_2	Razor + unique peptides wtp_3	Razor + unique peptides wtp_4	Razor + unique peptides wts_1	Razor + unique peptides wts_2	Razor + unique peptides wts_3	Razor + unique peptides wts_4	Unique peptides blank	Unique peptides clp1p_1	Unique peptides clp1p_2	Unique peptides clp1p_3	Unique peptides clp1p_4	Unique peptides clp1s_1	Unique peptides clp1s_2	Unique peptides clp1s_3	Unique peptides clp1s_4	Unique peptides clp2p_1	Unique peptides clp2p_2	Unique peptides clp2p_3	Unique peptides clp2p_4	Unique peptides clp2s_1	Unique peptides clp2s_2	Unique peptides clp2s_3	Unique peptides clp2s_4	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wtp_1	Unique peptides wtp_2	Unique peptides wtp_3	Unique peptides wtp_4	Unique peptides wts_1	Unique peptides wts_2	Unique peptides wts_3	Unique peptides wts_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1p_1 [%]	Sequence coverage clp1p_2 [%]	Sequence coverage clp1p_3 [%]	Sequence coverage clp1p_4 [%]	Sequence coverage clp1s_1 [%]	Sequence coverage clp1s_2 [%]	Sequence coverage clp1s_3 [%]	Sequence coverage clp1s_4 [%]	Sequence coverage clp2p_1 [%]	Sequence coverage clp2p_2 [%]	Sequence coverage clp2p_3 [%]	Sequence coverage clp2p_4 [%]	Sequence coverage clp2s_1 [%]	Sequence coverage clp2s_2 [%]	Sequence coverage clp2s_3 [%]	Sequence coverage clp2s_4 [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wtp_1 [%]	Sequence coverage wtp_2 [%]	Sequence coverage wtp_3 [%]	Sequence coverage wtp_4 [%]	Sequence coverage wts_1 [%]	Sequence coverage wts_2 [%]	Sequence coverage wts_3 [%]	Sequence coverage wts_4 [%]	Intensity	Intensity blank	Intensity clp1p_1	Intensity clp1p_2	Intensity clp1p_3	Intensity clp1p_4	Intensity clp1s_1	Intensity clp1s_2	Intensity clp1s_3	Intensity clp1s_4	Intensity clp2p_1	Intensity clp2p_2	Intensity clp2p_3	Intensity clp2p_4	Intensity clp2s_1	Intensity clp2s_2	Intensity clp2s_3	Intensity clp2s_4	Intensity pool_p	Intensity pool_s	Intensity wtp_1	Intensity wtp_2	Intensity wtp_3	Intensity wtp_4	Intensity wts_1	Intensity wts_2	Intensity wts_3	Intensity wts_4	LFQ intensity blank	LFQ intensity clp1p_1	LFQ intensity clp1p_2	LFQ intensity clp1p_3	LFQ intensity clp1p_4	LFQ intensity clp1s_1	LFQ intensity clp1s_2	LFQ intensity clp1s_3	LFQ intensity clp1s_4	LFQ intensity clp2p_1	LFQ intensity clp2p_2	LFQ intensity clp2p_3	LFQ intensity clp2p_4	LFQ intensity clp2s_1	LFQ intensity clp2s_2	LFQ intensity clp2s_3	LFQ intensity clp2s_4	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wtp_1	LFQ intensity wtp_2	LFQ intensity wtp_3	LFQ intensity wtp_4	LFQ intensity wts_1	LFQ intensity wts_2	LFQ intensity wts_3	LFQ intensity wts_4	MS/MS count blank	MS/MS count clp1p_1	MS/MS count clp1p_2	MS/MS count clp1p_3	MS/MS count clp1p_4	MS/MS count clp1s_1	MS/MS count clp1s_2	MS/MS count clp1s_3	MS/MS count clp1s_4	MS/MS count clp2p_1	MS/MS count clp2p_2	MS/MS count clp2p_3	MS/MS count clp2p_4	MS/MS count clp2s_1	MS/MS count clp2s_2	MS/MS count clp2s_3	MS/MS count clp2s_4	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wtp_1	MS/MS count wtp_2	MS/MS count wtp_3	MS/MS count wtp_4	MS/MS count wts_1	MS/MS count wts_2	MS/MS count wts_3	MS/MS count wts_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT1G01040.1;AT1G01040.2	AT1G01040.1;AT1G01040.2	2;2	2;2	2;2	AT1G01040.1 | dicer-like 1 | Chr1:23519-31079 FORWARD LENGTH=1909 | 201606;AT1G01040.2 | dicer-like 1 | Chr1:23519-31079 FORWARD LENGTH=1910 | 201606	2	2	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.4	1.4	1.4	213.57	1909	1909;1910	1	3	0.0012107	11.106	0	0	0	0	0	0	0	0.7	0	0.7	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	20291000	0	0	0	0	0	0	0	6440200	0	6935000	0	0	0	0	0	0	6915900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3				0	1791;2224	True;True	1837;2278	16956;16957;21131	17660;17661;21983	17660;21983		
AT1G01090.1	AT1G01090.1	2	2	2	AT1G01090.1 | pyruvate dehydrogenase E1 alpha | Chr1:47705-49166 REVERSE LENGTH=428 | 201606	1	2	2	2	0	0	1	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	7	7	7	47.173	428	428	1	11	0	11.761	0	0	3.3	3.3	7	0	0	3.3	0	3.3	0	3.3	0	0	0	0	0	0	3.3	3.3	3.3	3.3	0	0	0	0	0	25915000	0	0	1755400	2908400	8219700	0	0	2614700	0	1333500	0	2180100	0	0	0	0	0	0	1704500	1324700	1139000	2734700	0	0	0	0	0	0	0	0	0	216480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	11				1	1897;4226	True;True	1944;4361	17861;41043;41044;41045;41046;41047;41048;41049;41050;41051;41052	18600;42778;42779;42780;42781;42782;42783;42784;42785;42786;42787	18600;42783		
AT1G01290.2;AT1G01290.1	AT1G01290.2;AT1G01290.1	1;1	1;1	1;1	AT1G01290.2 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | Chr1:114299-115296 FORWARD LENGTH=270 | 201606;AT1G01290.1 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | Chr1:114299-115296 FORWARD LENGTH=270 | 201606	2	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	4.1	4.1	29.512	270	270;270	1	4	0.0011198	7.2567	0	0	0	4.1	4.1	0	0	0	0	4.1	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119800	0	0	0	1060600	686820	0	0	0	0	1062200	310240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4				2	3785	True	3907	36948;36949;36950;36951	38506;38507;38508;38509	38508		
AT1G01820.1	AT1G01820.1	4	3	3	AT1G01820.1 | peroxin 11c | Chr1:296213-297723 REVERSE LENGTH=235 | 201606	1	4	3	3	1	0	0	0	0	1	1	3	2	0	0	0	0	1	2	2	4	2	0	1	0	0	0	4	2	3	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	3	1	2	1	19.6	14.9	14.9	25.912	235	235	1	18	0	18.284	4.7	0	0	0	0	4.7	4.7	17	13.6	0	0	0	0	4.7	13.6	13.6	19.6	11.1	0	4.7	0	0	0	19.6	13.6	13.6	13.6	167570000	0	0	0	0	0	0	0	7821900	14776000	0	0	0	0	0	29502000	8159900	25433000	1820800	0	0	0	0	0	42319000	17597000	3584900	16553000	0	0	0	0	0	0	0	319390	0	0	0	0	0	0	0	0	339250	0	0	0	0	0	0	355840	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	4	1	0	0	0	0	0	4	1	2	1	20				3	1207;1604;1605;2122	True;True;True;False	1239;1648;1649;2175	11566;11567;11568;15107;15108;15109;15110;15111;15112;15113;15114;15115;15116;15117;15118;15119;15120;15121;20068;20069;20070;20071;20072;20073;20074;20075;20076;20077;20078;20079;20080;20081;20082	11990;11991;11992;15735;15736;15737;15738;15739;15740;15741;15742;15743;15744;15745;15746;15747;15748;15749;15750;15751;20879;20880;20881;20882;20883;20884;20885;20886;20887;20888;20889;20890;20891;20892;20893	11991;15740;15745;20883		
AT1G02410.3;AT1G02410.2;AT1G02410.1;REV__decoy_302;REV__decoy_301;REV__decoy_300	AT1G02410.3;AT1G02410.2;AT1G02410.1	5;5;5;1;1;1	5;5;5;1;1;1	5;5;5;1;1;1	AT1G02410.3 | cytochrome c oxidase assembly protein CtaG / Cox11 family | Chr1:491300-492762 FORWARD LENGTH=287 | 201606;AT1G02410.2 | cytochrome c oxidase assembly protein CtaG / Cox11 family | Chr1:491300-492762 FORWARD LENGTH=287 | 201606;AT1G02410.1 | 	6	5	5	5	0	0	0	0	0	1	3	5	2	0	0	0	0	1	2	2	3	2	0	0	0	0	0	3	1	1	1	0	0	0	0	0	1	3	5	2	0	0	0	0	1	2	2	3	2	0	0	0	0	0	3	1	1	1	0	0	0	0	0	1	3	5	2	0	0	0	0	1	2	2	3	2	0	0	0	0	0	3	1	1	1	27.5	27.5	27.5	32.604	287	287;287;287;287;287;287	1	29	0	35.507	0	0	0	0	0	7.7	16.7	27.5	11.1	0	0	0	0	7.7	9.1	13.2	16.7	11.1	0	0	0	0	0	16.7	4.9	5.6	5.6	106520000	0	0	0	0	0	1680300	12887000	26345000	6611800	0	0	0	0	0	13082000	950910	11091000	3450400	0	0	0	0	0	15603000	2109400	9153300	3554000	0	0	0	0	0	0	198580	193980	159590	0	0	0	0	0	171450	0	191680	157510	0	0	0	0	0	185740	0	0	0	0	0	0	0	0	2	3	5	4	0	0	0	0	1	2	3	4	2	0	0	0	0	0	4	1	1	1	33				4	2323;4692;4956;5501;5648	True;True;True;True;True	2380;4836;5108;5665;5816	22302;22303;22304;22305;22306;22307;22308;45508;48361;48362;53781;53782;53783;53784;53785;53786;53787;53788;53789;55220;55221;55222;55223;55224;55225;55226;55227;55228;55229	23204;23205;23206;23207;23208;23209;23210;23211;47431;50391;50392;56034;56035;56036;56037;56038;56039;56040;56041;56042;57518;57519;57520;57521;57522;57523;57524;57525;57526;57527;57528;57529;57530;57531	23211;47431;50392;56040;57531		
AT1G02920.1	AT1G02920.1	3	2	2	AT1G02920.1 | glutathione S-transferase 7 | Chr1:658886-659705 REVERSE LENGTH=209 | 201606	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	25.8	21.1	21.1	23.598	209	209	1	2	0.0012225	11.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	21.1	0	0	22590000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22590000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2				5	865;3197;5598	True;True;False	886;3284;5766	8138;31071;54706	8413;32334;56975	8413;32334;56975		
AT1G02930.2;AT1G02930.1	AT1G02930.2;AT1G02930.1	4;4	4;4	3;3	AT1G02930.2 | glutathione S-transferase 6 | Chr1:661363-662191 REVERSE LENGTH=208 | 201606;AT1G02930.1 | glutathione S-transferase 6 | Chr1:661363-662191 REVERSE LENGTH=208 | 201606	2	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	32.2	32.2	27.4	23.486	208	208;208	1	4	0	23.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	27.4	0	0	71654000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4037500	67617000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	4				6	277;835;3198;5598	True;True;True;True	282;855;3285;5766	2503;7865;31072;54706	2562;8134;32335;56975	2562;8134;32335;56975		
AT1G03090.2;AT1G03090.1	AT1G03090.2;AT1G03090.1	10;8	10;8	10;8	AT1G03090.2 | methylcrotonyl-CoA carboxylase alpha chain | Chr1:739715-743819 FORWARD LENGTH=734 | 201606;AT1G03090.1 | methylcrotonyl-CoA carboxylase alpha chain | Chr1:739715-743819 FORWARD LENGTH=714 | 201606	2	10	10	10	1	2	3	4	5	1	1	1	3	3	3	4	0	1	1	1	3	1	1	4	3	5	4	3	3	2	2	1	2	3	4	5	1	1	1	3	3	3	4	0	1	1	1	3	1	1	4	3	5	4	3	3	2	2	1	2	3	4	5	1	1	1	3	3	3	4	0	1	1	1	3	1	1	4	3	5	4	3	3	2	2	22.8	22.8	22.8	80.45	734	734;714	1	65	0	72.193	2.9	4.5	6.3	9.5	10.1	1.6	1.6	1.6	5.9	6.8	6.8	8.3	0	1.6	1.6	1.6	5.7	1.6	1.6	8.3	6.3	9.8	8.3	5.9	5.2	3.4	3.7	195840000	203480	4084600	9041200	23203000	9144000	1236200	2649200	1948700	12766000	12646000	8343500	12079000	0	0	0	1109000	10100000	1254000	1372200	8453600	6956600	13099000	9351100	15575000	18111000	8564600	4552200	0	222370	330870	346980	418200	0	0	0	211820	293470	349360	325990	0	0	0	0	144350	0	0	362720	399540	390370	453780	190600	217560	262290	150950	1	2	3	4	5	1	1	1	2	3	2	4	0	1	1	1	1	1	1	4	3	5	4	2	3	2	2	60				7	223;425;455;2511;2732;4373;5179;5288;5377;5426	True;True;True;True;True;True;True;True;True;True	226;435;467;2574;2807;4510;5334;5449;5538;5590	1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;3822;3823;3824;3825;3826;3827;3828;3829;3830;3831;3832;3833;3834;3835;3836;3837;3838;3839;3840;3841;3842;3843;3844;3845;3846;4181;4182;24416;26484;26485;26486;42362;42363;50744;51882;52631;52632;52633;52634;52635;52636;52637;52638;52639;52640;52641;53137;53138;53139;53140;53141;53142	1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;3931;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;3944;3945;3946;3947;3948;3949;3950;3951;3952;3953;3954;3955;4323;4324;25377;27535;27536;27537;44149;44150;52874;54072;54843;54844;54845;54846;54847;54848;54849;54850;54851;54852;54853;55379;55380;55381;55382;55383;55384	1979;3935;4323;25377;27535;44149;52874;54072;54846;55381		
AT1G03130.1	AT1G03130.1	2	1	1	AT1G03130.1 | photosystem I subunit D-2 | Chr1:753528-754142 REVERSE LENGTH=204 | 201606	1	2	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	13.7	6.4	6.4	22.306	204	204	1	2	1	-2	7.4	0	0	0	0	0	7.4	7.4	0	0	0	0	0	7.4	0	0	6.4	0	0	0	0	0	0	13.7	7.4	0	0	5183500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2355300	0	0	0	0	0	0	2828300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	+			8	1239;1329	True;False	1272;1365;1366	11860;11861;12583;12584;12585;12586;12587;12588;12589;12590;12591	12296;12297;13063;13064;13065;13066;13067;13068;13069;13070;13071;13072	12297;13067	0;1	108;116
AT1G03220.1	AT1G03220.1	1	1	1	AT1G03220.1 | Eukaryotic aspartyl protease family protein | Chr1:787143-788444 FORWARD LENGTH=433 | 201606	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.2	3.2	3.2	45.717	433	433	1	2	0.0033149	7.0548	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	6605400	0	0	0	0	0	0	0	2445300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4160100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61577	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2				9	965	True	989	9127;9128	9434;9435	9435		
