AGI,description,   lp-BN PAGE ,,                      SVC,                     Waltz,,SUBAcon,GFP ,MS,cytosolic ribosome ,plastid ribosome
AT3G13160, rPPR3b (P-class),,mtLSU (core),other,,mtSSU,mitochondrion,+,+,-,-
AT3G26360, putative S21-type protein of small ribosomal subunit ,,mtSSU (core),-,,mtSSU,mitochondrion,-,-,-,-
AT2G21290, 30S ribosomal protein S31,,mtSSU (core),-,,mtSSU,mitochondrion,-,-,-,-
AT2G34520, ribosomal S14 family protein,,mtSSU (core),-,,mtSSU,mitochondrion,-,-,-,-
AT5G44710, 37S ribosomal protein S27 (RPS27),,mtSSU (core),-,,mtSSU,mitochondrion,-,+,-,-
AT5G26800, XAA-Pro aminopeptidase P ,,mtSSU (core),-,,mtSSU,mitochondrion,-,-,-,-
AT1G77750, ribosomal S13 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,+,+,-,-
AT3G03600, ribosomal S2 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
ATMG00290, ribosomal S4 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G64880, ribosomal S5 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT4G29430, 40S ribosomal protein S15a-5 (RPS15AE),,mtSSU (core),mtSSU,,mtSSU,cytosol,-,+,+,-
AT3G49080, ribosomal S5 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G16870, ribosomal S29 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT3G18240, ribosomal S24/S35 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT1G61870, PPR336/rPPR1 (P-class),,mtSSU (core),mtSSU,,mtSSU,mitochondrion,+,+,-,-
AT4G15640, adenylyl cyclase ,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,+,+,-,-
AT3G22300, 40S ribosomal protein S10 (RPS10),,mtSSU (core),other,,mtSSU,mitochondrion,-,+,-,-
ATMG00090, ribosomal S3 family protein,,mtSSU (core),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT5G62270, ?,,mtSSU (core),other,,mtSSU,mitochondrion,-,+,-,-
AT5G56940, 30S ribosomal protein S16-2 (RPS16B),,mtSSU (pot.),-,,mtSSU,mitochondrion,+,+,-,-
AT3G21465, adenylyl cyclase,,mtSSU (pot.),-,,mtSSU,mitochondrion,-,-,-,-
AT3G18760, translation elongation factor EF1B/rib. S6 family protein,,mtSSU (pot.),mtSSU,,mtSSU,cytosol,-,+,-,-
AT1G80620, ribosomal S15 family protein,,mtSSU (pot.),mtSSU,,mtSSU,plastid,-,+,-,-
AT1G26750, ?,,mtSSU (pot.),mtSSU,,mtSSU,mitochondrion,-,+,-,-
AT5G52370, 28S ribosomal S34 protein,,mtSSU (pot.),other,,mtSSU,mitochondrion,-,-,-,-
